Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.343s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
3.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
4.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
5.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
6.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
7.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
8.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
9.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
10.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
11.00	0.99	-1.00	-1.00	-1.00	-1.00	0.99
12.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
13.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
14.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
15.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
16.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
17.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
18.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
19.00	0.98	-1.00	-1.00	-1.00	-1.00	1.00
20.00	0.99	-1.00	-1.00	-1.00	-1.00	0.99
21.00	1.99	-1.00	-1.00	-1.00	-1.00	1.95
22.00	1.98	-1.00	-1.00	-1.00	-1.00	2.01
23.00	1.99	-1.00	-1.00	-1.00	-1.00	1.99
24.00	1.98	-1.00	-1.00	-1.00	-1.00	2.01
25.00	1.99	-1.00	-1.00	-1.00	-1.00	1.99
26.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
27.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
28.00	1.99	-1.00	-1.00	-1.00	-1.00	2.00
29.00	1.99	-1.00	-1.00	-1.00	-1.00	2.00
30.00	1.99	-1.00	-1.00	-1.00	-1.00	2.00
31.00	2.97	-1.00	-1.00	-1.00	-1.00	2.98
32.00	2.97	-1.00	-1.00	-1.00	-1.00	2.97
33.00	2.99	-1.00	-1.00	-1.00	-1.00	2.98
34.00	2.99	-1.00	-1.00	-1.00	-1.00	2.98
35.00	2.97	-1.00	-1.00	-1.00	-1.00	2.99
36.00	2.96	-1.00	-1.00	-1.00	-1.00	2.99
37.00	2.98	-1.00	-1.00	-1.00	-1.00	2.94
38.00	3.00	-1.00	-1.00	-1.00	-1.00	2.98
39.00	2.98	-1.00	-1.00	-1.00	-1.00	2.94
40.00	2.99	-1.00	-1.00	-1.00	-1.00	3.04
41.00	3.92	-1.00	-1.00	-1.00	-1.00	3.96
42.00	3.97	-1.00	-1.00	-1.00	-1.00	3.96
43.00	3.98	-1.00	-1.00	-1.00	-1.00	3.93
44.00	3.94	-1.00	-1.00	-1.00	-1.00	4.02
45.00	3.99	-1.00	-1.00	-1.00	-1.00	3.97
46.00	4.00	-1.00	-1.00	-1.00	-1.00	3.97
47.00	3.97	-1.00	-1.00	-1.00	-1.00	3.94
48.00	3.99	-1.00	-1.00	-1.00	-1.00	3.94
49.00	3.97	-1.00	-1.00	-1.00	-1.00	3.97
50.00	3.98	-1.00	-1.00	-1.00	-1.00	3.99
51.00	4.97	-1.00	-1.00	-1.00	-1.00	4.92
52.00	4.91	-1.00	-1.00	-1.00	-1.00	4.95
53.00	4.99	-1.00	-1.00	-1.00	-1.00	4.95
54.00	4.95	-1.00	-1.00	-1.00	-1.00	4.95
55.00	4.97	-1.00	-1.00	-1.00	-1.00	4.97
56.00	4.98	-1.00	-1.00	-1.00	-1.00	4.96
57.00	4.97	-1.00	-1.00	-1.00	-1.00	5.02
58.00	4.90	-1.00	-1.00	-1.00	-1.00	4.96
59.00	4.96	-1.00	-1.00	-1.00	-1.00	4.95
60.00	4.98	-1.00	-1.00	-1.00	-1.00	4.95
61.00	5.92	-1.00	-1.00	-1.00	-1.00	5.97
62.00	5.99	-1.00	-1.00	-1.00	-1.00	5.94
63.00	5.99	-1.00	-1.00	-1.00	-1.00	5.97
64.00	5.90	-1.00	-1.00	-1.00	-1.00	5.97
65.00	6.03	-1.00	-1.00	-1.00	-1.00	5.77
66.00	5.98	-1.00	-1.00	-1.00	-1.00	6.16
67.00	5.97	-1.00	-1.00	-1.00	-1.00	5.96
68.00	5.92	-1.00	-1.00	-1.00	-1.00	5.99
69.00	6.03	-1.00	-1.00	-1.00	-1.00	5.95
70.00	5.97	-1.00	-1.00	-1.00	-1.00	5.98
71.00	6.95	-1.00	-1.00	-1.00	-1.00	6.90
72.00	6.97	-1.00	-1.00	-1.00	-1.00	7.04
73.00	6.98	-1.00	-1.00	-1.00	-1.00	6.98
74.00	6.97	-1.00	-1.00	-1.00	-1.00	6.97
75.00	6.94	-1.00	-1.00	-1.00	-1.00	7.03
76.00	7.02	-1.00	-1.00	-1.00	-1.00	6.92
77.00	6.98	-1.00	-1.00	-1.00	-1.00	6.91
78.00	6.94	-1.00	-1.00	-1.00	-1.00	7.04
79.00	7.01	-1.00	-1.00	-1.00	-1.00	6.91
80.00	6.91	-1.00	-1.00	-1.00	-1.00	7.08
81.00	7.94	-1.00	-1.00	-1.00	-1.00	7.96
82.00	8.02	-1.00	-1.00	-1.00	-1.00	7.93
