Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.414s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	13	11.6	14.6	13.2	13	13.6	16.6	15.6
61	0	0	1148.8	1225.6	1651.2	1673.6	1708.8	1427.2
62	0	0	1795.2	1622.4	1750.4	1308.8	1606.4	1104
63	0	0	1603.2	1241.6	1190.4	1366.4	1827.2	1574.4
64	0	0	1676.8	1139.2	1328	1024	1276.8	1222.4
65	0	0	1072	755.2	1356.8	1699.2	1628.8	1747.2
66	0	0	1484.8	1318.4	1248	1782.4	787.2	1756.8
67	0	0	1561.6	1507.2	1651.2	1248	1081.6	1190.4
68	0	0	1763.2	1088	1340.8	1366.4	1225.6	1273.6
69	0	0	976	1712	1536	1456	841.6	1395.2
70	0	0	1622.4	889.6	1344	1507.2	1398.4	1491.2
71	0	0	1276.8	1555.2	1654.4	1664	1260.8	940.8
72	0	0	1171.2	1465.6	1427.2	1532.8	1228.8	1206.4
73	0	0	1564.8	1478.4	1356.8	1449.6	1440	1481.6
74	0	0	1462.4	1644.8	998.4	1628.8	1321.6	1129.6
75	0	0	1392	1584	1270.4	1321.6	1379.2	1753.6
76	0	0	969.6	1244.8	1660.8	1276.8	1651.2	1657.6
77	0	0	1152	1388.8	1696	1280	835.2	1558.4
78	0	0	1744	1680	1065.6	1456	1542.4	800
79	0	0	1728	1427.2	905.6	1411.2	1462.4	1420.8
80	0	0	1686.4	1427.2	1395.2	1881.6	755.2	985.6
81	0	0	1401.6	1059.2	1529.6	1692.8	1292.8	1081.6
82	0	0	1027.2	1820.8	1251.2	1465.6	1398.4	1568
83	0	0	1094.4	1542.4	1382.4	1372.8	1276.8	1683.2
84	0	0	1590.4	1270.4	1068.8	1257.6	1587.2	1609.6
85	0	0	1193.6	1168	1555.2	1385.6	1395.2	1680
86	0	0	1772.8	1059.2	1494.4	1344	1363.2	1321.6
87	0	0	1081.6	1648	1468.8	1254.4	1584	1728
88	0	0	1027.2	1001.6	1651.2	1744	1324.8	1337.6
89	0	0	1289.6	1782.4	1180.8	1091.2	1302.4	1596.8
90	0	0	1616	1123.2	1500.8	1164.8	1705.6	1385.6
avg	0	0	1398.19	1362.35	1397.01	1436.91	1349.65	1403.63
delay	0.261538	0.258621	481.854	475.141	483.452	478.071	475.151	480.042
loss	0	0	0.133164	0.307527	0.119257	0.0883495	0.105909	0.109361
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=25e6', '--ratio=0.375', '--RngRun=4', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
