Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.829s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	13.6	13.8	16.2	12.8	16.2	15.4	16.2	16.4
61	0	0	2016	1587.2	1603.2	1670.4	1900.8	1424
62	0	0	1443.2	1302.4	1494.4	1379.2	1497.6	1491.2
63	0	0	1408	1289.6	1241.6	1488	908.8	1318.4
64	0	0	1334.4	1305.6	1248	1385.6	1168	1187.2
65	0	0	1177.6	1040	1347.2	1312	1302.4	1600
66	0	0	1347.2	1264	1702.4	1238.4	1065.6	1235.2
67	0	0	1395.2	1104	1145.6	1404.8	1270.4	1334.4
68	0	0	1312	1382.4	966.4	1209.6	1504	1289.6
69	0	0	1398.4	1286.4	1360	1059.2	1564.8	1513.6
70	0	0	1580.8	1136	1219.2	1235.2	1136	1606.4
71	0	0	1334.4	1475.2	1385.6	1104	1289.6	1510.4
72	0	0	1401.6	1353.6	1305.6	1056	1315.2	1340.8
73	0	0	1481.6	1398.4	1411.2	1321.6	1363.2	1270.4
74	0	0	1296	1619.2	1129.6	1225.6	1232	1241.6
75	0	0	1411.2	1427.2	1222.4	905.6	1302.4	1372.8
76	0	0	1200	1308.8	1360	1257.6	1251.2	1046.4
77	0	0	1372.8	1299.2	1254.4	1036.8	883.2	1241.6
78	0	0	1468.8	1494.4	1446.4	1312	1184	1232
79	0	0	1353.6	1526.4	1321.6	1446.4	1424	1267.2
80	0	0	1344	1433.6	1084.8	1308.8	1174.4	1107.2
81	0	0	1244.8	1424	1318.4	1289.6	1574.4	1379.2
82	0	0	1321.6	1737.6	1385.6	1132.8	1689.6	1523.2
83	0	0	1369.6	1548.8	1344	1168	1619.2	1001.6
84	0	0	1526.4	1200	1244.8	1286.4	1369.6	1187.2
85	0	0	1212.8	1363.2	1408	1120	1206.4	1491.2
86	0	0	1574.4	1283.2	1465.6	1379.2	1257.6	1113.6
87	0	0	1331.2	1100.8	1747.2	1286.4	1475.2	1337.6
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=35e6', '--ratio=0.375', '--RngRun=46', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
