Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.748s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	15.2	13.8	13.4	12.6	15.4	16.4	14.8	15.8
61	0	0	905.6	1648	1376	1561.6	2086.4	1814.4
62	0	0	1180.8	1187.2	1331.2	1273.6	1238.4	1334.4
63	0	0	1171.2	912	1129.6	1254.4	1075.2	924.8
64	0	0	1350.4	1049.6	992	790.4	1168	998.4
65	0	0	921.6	896	1094.4	1065.6	1081.6	960
66	0	0	928	1024	1113.6	1062.4	1033.6	976
67	0	0	1014.4	880	1100.8	1004.8	1337.6	1068.8
68	0	0	1040	1004.8	931.2	1056	880	969.6
69	0	0	1123.2	988.8	1129.6	1209.6	889.6	979.2
70	0	0	1097.6	1052.8	1206.4	1248	1001.6	1068.8
71	0	0	1040	905.6	998.4	1049.6	1120	921.6
72	0	0	956.8	953.6	1283.2	956.8	883.2	1385.6
73	0	0	1072	918.4	1030.4	940.8	1043.2	1024
74	0	0	908.8	1123.2	694.4	732.8	1110.4	755.2
75	0	0	934.4	902.4	985.6	1292.8	1043.2	1123.2
76	0	0	1139.2	960	1091.2	809.6	1267.2	1078.4
77	0	0	1078.4	819.2	966.4	1280	854.4	892.8
78	0	0	1187.2	1200	1036.8	934.4	918.4	982.4
79	0	0	1046.4	1014.4	931.2	1100.8	1040	1193.6
80	0	0	940.8	1401.6	915.2	1020.8	918.4	1222.4
81	0	0	928	995.2	1334.4	1030.4	1084.8	972.8
82	0	0	1142.4	870.4	1238.4	1062.4	985.6	972.8
83	0	0	1043.2	1142.4	1091.2	1100.8	1225.6	745.6
84	0	0	1228.8	1155.2	905.6	1126.4	992	988.8
85	0	0	928	1036.8	1251.2	921.6	902.4	1033.6
86	0	0	1132.8	1033.6	1072	1132.8	1193.6	1017.6
87	0	0	1075.2	1219.2	1219.2	1248	953.6	1100.8
88	0	0	1193.6	1139.2	1200	1097.6	1260.8	873.6
89	0	0	1072	854.4	960	928	1113.6	1088
90	0	0	950.4	953.6	886.4	1094.4	924.8	1004.8
avg	0	0	1057.71	1041.39	1083.2	1079.57	1087.57	1049.07
delay	0.276316	0.275362	515.232	543.818	590.542	590.939	513.049	561.834
loss	0	0	0.210807	0.815026	0.796791	0.52997	0.200569	0.813276
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=40e6', '--ratio=0.375', '--RngRun=12', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
