Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.955s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	18.6	16.6	14	16.6	11.6	16.2	16	14.8
61	0	0	838.4	1715.2	1545.6	1561.6	1632	1827.2
62	0	0	1337.6	1513.6	1376	1737.6	1068.8	1244.8
63	0	0	1043.2	1286.4	1171.2	1616	1177.6	1027.2
64	0	0	1376	1219.2	1116.8	1264	1136	1321.6
65	0	0	1347.2	1104	1286.4	1241.6	1136	1232
66	0	0	1350.4	1414.4	1004.8	1238.4	1020.8	1187.2
67	0	0	1180.8	1180.8	1203.2	1228.8	1203.2	1011.2
68	0	0	1436.8	1520	1190.4	1276.8	1212.8	1388.8
69	0	0	1251.2	915.2	1225.6	1555.2	1296	1571.2
70	0	0	1267.2	1110.4	1081.6	1334.4	1286.4	1100.8
71	0	0	864	1120	1088	1299.2	1366.4	1123.2
72	0	0	1411.2	1254.4	1142.4	1302.4	1161.6	825.6
73	0	0	1222.4	1148.8	1152	1046.4	1046.4	963.2
74	0	0	1200	1593.6	1094.4	1385.6	1488	678.4
75	0	0	1113.6	1606.4	1027.2	1206.4	1145.6	1110.4
76	0	0	1164.8	1068.8	1164.8	1027.2	937.6	1232
77	0	0	1369.6	1116.8	1068.8	1289.6	1481.6	1267.2
78	0	0	1139.2	1212.8	1148.8	1091.2	1273.6	1315.2
79	0	0	1302.4	1148.8	1187.2	1411.2	1097.6	1667.2
80	0	0	1142.4	963.2	1244.8	1228.8	1350.4	1318.4
81	0	0	1382.4	982.4	1321.6	1011.2	1270.4	1497.6
82	0	0	1571.2	1296	1539.2	905.6	889.6	1462.4
83	0	0	1865.6	1715.2	1088	828.8	1078.4	1212.8
84	0	0	1078.4	1404.8	1164.8	1052.8	1136	1068.8
85	0	0	1177.6	1443.2	1251.2	812.8	1104	1040
86	0	0	1152	963.2	1065.6	1312	1248	1113.6
87	0	0	1248	1187.2	1104	1139.2	1305.6	1401.6
88	0	0	1158.4	1123.2	1222.4	1206.4	1177.6	1225.6
89	0	0	1433.6	1193.6	1078.4	1398.4	1286.4	915.2
90	0	0	1395.2	1404.8	1491.2	1065.6	819.2	1436.8
avg	0	0	1260.69	1264.21	1194.88	1235.84	1194.45	1226.24
delay	0.268817	0.277108	531.723	499.69	498.955	492.855	521.244	495.98
loss	0	0	0.571863	0.15873	0.158715	0.15636	0.31113	0.147425
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=30e6', '--ratio=0.375', '--RngRun=34', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
