Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.702s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10
60	11.8	19	16.2	13.4	16	13.6	13	12	15	14.8
61	0	0	582.4	1084.8	1369.6	611.2	764.8	1139.2	940.8	828.8
62	0	0	540.8	601.6	601.6	646.4	729.6	1129.6	947.2	595.2
63	0	0	489.6	889.6	867.2	611.2	512	659.2	758.4	652.8
64	0	0	582.4	627.2	710.4	969.6	633.6	835.2	713.6	512
65	0	0	416	739.2	662.4	838.4	899.2	627.2	688	486.4
66	0	0	406.4	732.8	620.8	806.4	620.8	668.8	739.2	646.4
67	0	0	297.6	652.8	745.6	816	742.4	771.2	870.4	627.2
68	0	0	579.2	694.4	678.4	841.6	633.6	598.4	774.4	563.2
69	0	0	457.6	800	774.4	643.2	694.4	640	771.2	313.6
70	0	0	528	579.2	620.8	588.8	748.8	752	774.4	646.4
71	0	0	454.4	761.6	758.4	624	780.8	905.6	752	371.2
72	0	0	540.8	809.6	649.6	576	892.8	668.8	592	512
73	0	0	464	617.6	608	892.8	806.4	515.2	793.6	336
74	0	0	617.6	720	566.4	675.2	633.6	755.2	604.8	556.8
75	0	0	508.8	489.6	755.2	611.2	720	796.8	694.4	339.2
76	0	0	505.6	649.6	582.4	780.8	710.4	713.6	752	313.6
77	0	0	531.2	678.4	547.2	771.2	704	864	838.4	457.6
78	0	0	476.8	496	835.2	876.8	851.2	726.4	944	467.2
79	0	0	550.4	608	812.8	608	819.2	435.2	908.8	419.2
80	0	0	640	755.2	720	636.8	643.2	844.8	774.4	544
81	0	0	563.2	582.4	630.4	889.6	710.4	752	816	540.8
82	0	0	425.6	640	710.4	755.2	640	828.8	716.8	614.4
83	0	0	393.6	588.8	582.4	761.6	745.6	787.2	569.6	425.6
84	0	0	544	640	700.8	636.8	640	1046.4	636.8	508.8
85	0	0	563.2	764.8	601.6	512	649.6	745.6	860.8	512
86	0	0	608	646.4	867.2	784	620.8	793.6	665.6	464
87	0	0	512	704	841.6	774.4	409.6	796.8	819.2	486.4
88	0	0	496	684.8	777.6	652.8	624	768	675.2	265.6
89	0	0	403.2	745.6	816	704	537.6	873.6	886.4	425.6
90	0	0	611.2	656	758.4	630.4	672	636.8	819.2	521.6
avg	0	0	509.653	688	725.76	717.547	693.013	769.173	769.92	498.453
delay	0.254237	0.252632	616.926	559.241	510.335	556.821	515.254	532.636	510.894	550.977
loss	0	0	0.890199	0.791082	0.207207	0.491756	0.230588	0.746587	0.193516	0.779487
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=35e6', '--ratio=0.375', '--RngRun=50', '--locationFile=locationtxt/locationFile24.txt', '--routingFile=locationtxt/routingFile24.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
