Dst	Src	HeMcs	Txlevel	Num	isObss
16 	  15	  4	  10	  2257	  0
15 	  16	  4	  10	  4392	  0
8 	  7	  4	  10	  2287	  0
7 	  8	  4	  10	  4259	  0
15 	  14	  4	  10	  2628	  0
14 	  15	  4	  10	  3098	  0
12 	  11	  4	  10	  2123	  0
11 	  12	  4	  10	  3922	  0
14 	  13	  4	  10	  3480	  0
13 	  14	  4	  10	  3177	  0
11 	  10	  4	  10	  2428	  0
10 	  11	  4	  10	  2700	  0
7 	  6	  4	  10	  2417	  0
6 	  7	  4	  10	  3191	  0
6 	  5	  4	  10	  3470	  0
5 	  6	  4	  10	  3437	  0
10 	  9	  4	  10	  3239	  0
9 	  10	  4	  10	  2868	  0
4 	  3	  4	  10	  2338	  0
3 	  4	  4	  10	  4377	  0
3 	  2	  4	  10	  2730	  0
2 	  3	  4	  10	  3649	  0
2 	  1	  4	  10	  3390	  0
1 	  2	  4	  10	  3395	  0
11 	  12	  0	  7	  22	  1
1 	  2	  0	  2	  153	  1
10 	  11	  0	  7	  18	  1
9 	  10	  0	  2	  232	  1
3 	  4	  1	  10	  54	  1
7 	  6	  4	  4	  16	  1
13 	  14	  0	  2	  163	  1
5 	  6	  0	  2	  223	  1
11 	  12	  2	  10	  36	  1
1 	  2	  3	  6	  29	  1
2 	  3	  2	  10	  12	  1
1 	  2	  0	  7	  13	  1
9 	  10	  3	  6	  33	  1
11 	  10	  4	  7	  8	  1
10 	  11	  3	  6	  14	  1
12 	  11	  4	  7	  13	  1
9 	  10	  0	  7	  11	  1
3 	  4	  2	  10	  23	  1
2 	  3	  0	  7	  16	  1
12 	  11	  4	  10	  5	  1
10 	  11	  2	  10	  1	  1
2 	  3	  3	  6	  16	  1
15 	  16	  1	  10	  13	  1
9 	  10	  1	  4	  30	  1
11 	  10	  4	  10	  4	  1
11 	  12	  1	  10	  35	  1
16 	  15	  4	  6	  4	  1
15 	  14	  4	  6	  4	  1
7 	  6	  4	  2	  8	  1
13 	  14	  0	  7	  24	  1
13 	  14	  3	  6	  15	  1
7 	  6	  4	  7	  13	  1
15 	  16	  2	  10	  72	  1
7 	  6	  4	  6	  4	  1
6 	  7	  3	  6	  14	  1
6 	  7	  0	  7	  5	  1
5 	  6	  1	  4	  49	  1
3 	  4	  0	  7	  20	  1
14 	  15	  0	  7	  10	  1
14 	  15	  2	  10	  12	  1
3 	  2	  4	  6	  5	  1
3 	  2	  4	  7	  6	  1
3 	  2	  4	  2	  13	  1
7 	  8	  1	  10	  63	  1
15 	  14	  4	  7	  17	  1
7 	  8	  2	  10	  11	  1
16 	  15	  4	  7	  8	  1
15 	  16	  0	  7	  33	  1
14 	  15	  3	  6	  26	  1
5 	  6	  3	  6	  5	  1
13 	  14	  1	  4	  4	  1
6 	  7	  2	  10	  16	  1
8 	  7	  4	  7	  9	  1
16 	  15	  4	  10	  9	  1
5 	  6	  0	  7	  13	  1
7 	  8	  0	  7	  17	  1
11 	  10	  4	  4	  14	  1
15 	  14	  4	  2	  9	  1
15 	  14	  4	  10	  4	  1
8 	  7	  4	  10	  14	  1
8 	  7	  4	  6	  4	  1

 TotalReset Number= 25288
