Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.725s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	15	13	15.8	14.6	11.2	15.8	15.4	19	20	17	15.2	16.8	16.4	15.8	15.4	16.4	14.2	13.8	14.8	16.6
61	0	0	0	0	0	0	72	264	456	336	112	0	656	168	544	320	456	0	448	656
62	0	0	0	0	0	32	440	64	272	520	512	0	552	488	344	328	552	168	544	352
63	0	0	0	0	0	240	416	120	64	376	760	576	344	400	384	184	200	224	584	208
64	0	0	0	0	0	256	72	168	480	32	520	256	224	560	352	568	344	504	344	352
65	0	0	0	0	0	32	48	280	64	632	720	320	0	552	48	600	448	240	72	512
66	0	0	0	0	0	0	40	344	232	536	584	112	632	0	456	320	416	80	144	776
67	0	0	0	0	0	312	616	192	664	200	208	608	480	88	80	32	0	336	0	360
68	0	0	0	0	0	704	0	728	96	216	720	96	24	152	112	16	400	456	304	0
69	0	0	0	0	0	192	192	144	584	8	176	144	384	40	392	672	128	0	688	656
70	0	0	0	0	0	8	472	392	680	336	608	448	24	608	168	336	288	128	304	312
71	0	0	0	0	0	504	160	240	312	392	664	720	744	272	96	448	104	192	48	56
72	0	0	0	0	0	152	176	392	120	736	264	176	536	328	632	464	224	96	320	232
73	0	0	0	0	0	352	304	0	32	344	168	360	512	96	872	80	344	144	0	408
74	0	0	0	0	0	64	152	328	440	232	168	0	536	152	720	304	472	208	208	752
75	0	0	8	0	0	360	96	248	160	56	696	224	448	376	104	376	8	552	304	352
76	0	0	0	0	0	112	176	192	24	360	408	248	80	408	472	416	336	376	648	272
77	0	0	0	0	0	176	0	384	448	544	0	64	712	584	112	160	544	152	480	416
78	8	0	0	0	0	112	56	216	248	152	336	664	264	184	408	616	200	632	608	312
79	0	0	0	0	0	0	488	360	0	376	0	208	128	240	728	208	592	360	552	80
80	0	8	0	0	0	400	0	360	128	624	288	312	352	0	416	680	592	64	128	88
81	0	0	0	0	0	264	264	456	0	456	712	0	680	184	144	368	312	0	488	24
82	0	0	0	0	0	272	496	376	560	48	240	520	32	360	0	536	280	504	640	0
83	0	0	0	0	0	344	136	208	408	560	296	576	472	376	160	400	392	544	240	224
84	0	0	0	0	0	272	296	248	528	280	360	200	168	600	616	344	0	440	440	200
85	0	0	0	0	0	512	192	544	56	216	720	24	0	552	208	552	296	0	440	288
86	0	0	0	0	0	0	200	192	48	768	360	512	16	536	80	96	424	328	504	768
87	0	0	0	0	0	152	280	0	624	224	496	456	272	344	368	544	640	800	440	256
88	0	0	0	0	0	392	400	0	160	152	416	624	96	344	80	504	368	0	736	408
89	0	0	0	0	0	208	224	232	600	480	448	0	488	600	296	296	496	248	408	448
90	0	0	0	0	0	544	144	376	248	0	376	224	216	296	584	8	440	0	192	176
91	0	0	0	0	0	208	424	0	776	608	368	744	0	0	0	800	400	552	0	32
92	0	0	0	0	0	0	0	360	480	376	56	536	664	672	360	136	216	480	16	600
93	0	0	0	0	0	288	592	216	120	280	0	424	216	576	0	352	544	152	416	0
94	0	8	0	0	8	216	208	336	336	128	80	248	312	120	240	768	16	352	528	24
95	0	0	0	8	0	16	16	384	560	464	0	496	400	512	0	624	112	376	288	376
96	0	0	0	0	0	384	80	376	8	336	352	520	0	368	232	440	528	488	120	224
97	0	0	8	0	0	32	216	416	632	568	120	776	72	664	200	184	0	728	144	312
98	0	0	0	0	0	80	336	256	208	600	120	0	496	592	256	784	616	376	560	472
99	0	0	0	0	0	432	424	400	560	712	408	352	568	528	128	232	224	192	0	8
100	0	0	0	0	0	72	440	176	600	96	320	344	80	448	0	200	0	656	424	208
101	0	0	0	0	0	144	160	0	456	464	304	408	0	280	728	568	256	608	656	0
102	0	0	0	0	0	104	424	240	328	648	144	224	416	128	456	632	384	0	0	328
103	0	0	0	0	0	0	0	320	760	32	456	56	112	728	568	608	280	376	112	480
104	0	0	0	0	0	80	184	392	712	88	408	0	192	464	480	208	768	736	336	136
105	0	0	0	0	0	488	440	344	32	160	392	192	512	336	384	192	16	216	232	704
106	0	8	0	0	0	136	240	320	216	352	56	696	48	536	352	424	504	680	760	176
107	0	0	0	0	0	184	448	192	288	440	352	168	552	424	528	0	336	88	528	176
108	0	0	0	0	0	0	240	152	496	160	448	416	664	744	696	656	0	704	104	144
109	0	0	0	0	0	240	0	160	624	152	280	232	448	512	120	624	632	640	56	448
110	0	0	0	0	0	176	328	344	16	624	568	544	152	600	656	376	120	0	432	328
111	0	0	0	8	0	392	336	0	64	248	640	56	264	104	568	752	448	632	448	480
112	0	0	0	0	8	0	432	296	568	0	0	408	504	136	304	392	592	384	496	592
113	0	0	0	0	0	288	24	128	344	384	432	440	488	256	24	416	544	648	448	352
114	0	0	8	0	0	96	0	88	0	0	544	496	920	928	568	848	552	184	24	184
115	0	0	0	0	0	272	456	384	552	24	496	0	256	128	664	328	216	0	536	64
116	0	0	0	0	0	64	296	256	312	560	264	112	496	32	560	752	576	224	304	488
117	0	0	0	0	0	304	520	80	240	0	528	0	136	712	0	24	712	80	216	256
118	0	0	0	0	0	344	384	352	448	248	440	256	448	288	0	240	392	496	240	88
119	0	0	0	0	0	336	440	168	664	432	104	208	24	136	224	264	544	800	528	512
120	0	0	0	0	0	8	480	64	104	312	200	288	216	704	464	328	632	408	488	648
avg	0.133333	0.4	0.4	0.266667	0.266667	205.867	252.933	254.133	337.333	328.133	353.6	305.2	328.8	375.733	328.933	398.8	357.6	333.867	344.933	313.067
delay	5	19	61.6667	79	40.5	85.2778	67.6721	60.8187	63.914	64.2001	73.6689	67.3843	61.6732	62.2014	60.5942	60.1209	60.8337	80.7106	68.7306	60.2748
loss	0.5	0	0	0.333333	0.333333	0.458173	0.40626	0.464496	0.268053	0.278477	0.264355	0.270003	0.267162	0.279325	0.236223	0.249562	0.259934	0.256456	0.263802	0.260924
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc2', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs6', '--datarate=10e5', '--clNum=20', '--ratio=0.375', '--RngRun=57'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
