Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.728s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	14.6	15.4	13.4	15.2	17.4	13.2	14.6	13	14	10.4	14.2	16.6	12.2	15.8	15	11.8	12.8	15.4	15.2	11.8
61	0	0	0	0	0	80	176	0	0	0	168	456	552	176	0	0	192	0	40	0
62	0	0	0	0	0	200	328	32	0	80	176	240	232	296	200	160	208	216	16	112
63	0	0	0	0	0	208	240	40	200	192	344	240	200	336	216	168	32	88	8	272
64	0	0	0	0	0	32	216	232	0	128	0	384	376	176	472	0	128	344	144	104
65	0	0	0	0	0	0	312	296	216	104	312	128	152	160	200	240	40	104	88	96
66	0	0	0	0	0	352	104	272	288	0	0	216	312	0	0	416	232	16	464	0
67	0	0	0	0	0	224	192	104	216	160	40	64	0	128	304	392	0	240	360	104
68	0	0	0	0	0	224	264	144	176	168	128	136	240	120	160	208	128	0	336	248
69	0	0	0	0	0	456	96	16	0	176	288	464	24	376	120	80	288	256	48	32
70	0	0	0	0	0	168	112	72	432	320	424	32	112	288	144	184	248	352	256	0
71	0	0	0	0	0	152	24	48	344	296	432	24	136	176	496	96	328	144	168	208
72	0	0	0	0	0	168	144	160	64	88	192	248	304	224	48	0	176	112	296	232
73	8	0	0	0	0	80	80	152	16	144	168	336	448	336	112	264	192	248	240	144
74	0	0	0	0	0	160	200	232	280	40	64	8	288	64	544	264	312	72	0	128
75	0	0	8	0	0	64	168	272	336	160	0	104	192	272	272	120	120	40	528	160
76	0	0	0	0	0	152	232	0	464	264	56	48	256	312	48	80	152	120	360	264
77	0	0	0	8	0	88	144	184	0	0	64	360	184	0	584	536	184	416	64	264
78	0	0	0	0	0	0	344	0	320	312	144	376	312	40	136	328	168	248	328	56
79	0	0	0	0	0	112	136	96	352	128	8	144	0	336	112	96	256	0	344	384
80	0	0	0	0	0	112	288	216	80	304	64	160	72	232	120	232	168	168	128	112
81	0	0	0	0	0	160	112	224	272	120	144	272	304	152	128	56	0	56	208	368
82	0	0	0	0	0	0	80	8	408	96	528	392	336	0	512	120	248	120	64	376
83	0	0	0	0	0	192	280	40	64	128	304	504	88	352	368	56	256	32	208	336
84	0	0	0	0	0	296	344	0	248	112	200	32	272	352	0	136	40	224	192	296
85	0	0	0	0	0	304	96	168	32	400	272	256	280	232	88	168	312	96	88	176
86	0	0	0	0	0	256	0	0	240	0	344	152	232	328	48	488	280	80	248	248
87	0	0	0	0	0	72	216	56	184	216	112	248	368	16	384	224	0	360	352	184
88	8	0	0	0	0	104	112	32	296	320	104	160	208	336	456	120	16	224	440	304
89	0	0	0	0	0	208	208	176	136	96	112	248	256	8	264	256	144	208	48	144
90	0	0	8	0	0	88	0	0	0	184	368	104	488	448	224	584	24	256	640	360
91	0	0	0	0	0	96	200	152	168	336	0	96	208	480	648	256	392	0	0	0
92	0	0	0	8	8	312	24	312	0	104	136	344	496	296	8	8	24	104	64	168
93	0	0	0	0	0	144	272	32	16	160	400	176	120	152	256	96	192	208	88	200
