Waf: Entering directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.824s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	16	15.2	15	15	13.4	12.6	15.6	11	15.4	12.6	14.8	12.2	12.8	13.4	12	11	16	11	14.4	12
61	96	96	96	96	96	72	80	72	96	88	80	88	80	88	64	72	80	64	48	64
62	96	96	96	96	88	72	48	48	72	72	64	64	72	72	72	64	56	64	32	40
63	104	104	104	104	104	0	80	80	80	72	72	72	88	64	56	64	96	96	80	88
64	96	96	96	96	80	128	56	40	0	64	56	72	80	88	48	72	72	56	32	40
65	104	104	104	104	64	64	40	56	152	80	72	80	96	96	80	80	96	96	72	72
66	96	96	96	96	88	80	40	40	72	64	48	48	80	56	40	64	48	56	40	48
67	104	104	104	104	104	88	72	72	96	80	88	96	80	72	64	72	72	96	72	72
68	96	96	96	96	88	40	80	80	88	88	80	88	88	88	88	96	96	72	72	72
69	104	104	104	104	104	96	72	64	72	56	56	64	88	80	64	72	104	88	64	72
70	96	96	96	96	88	0	88	88	88	88	88	88	96	96	96	96	96	80	80	80
71	104	104	104	104	104	184	64	56	88	64	40	56	72	72	48	64	96	72	56	40
72	96	96	96	96	80	64	48	48	88	56	40	40	72	72	56	64	72	64	56	56
73	104	104	96	104	96	56	48	72	72	72	64	80	104	72	64	64	88	48	56	56
74	96	96	96	96	96	80	80	72	80	80	80	72	56	72	64	72	80	80	64	64
75	104	104	104	104	80	8	40	48	88	64	48	48	112	64	40	56	0	72	40	56
76	96	96	96	96	88	112	40	48	88	56	56	64	64	64	40	48	0	72	40	48
77	104	104	104	104	96	80	64	64	96	64	64	80	96	72	56	56	256	80	64	72
78	96	96	96	96	96	32	64	64	64	56	56	72	88	80	64	80	72	72	48	56
79	104	104	104	104	104	0	88	72	96	64	64	80	96	72	72	72	56	64	48	56
80	96	96	96	96	96	0	56	56	16	80	80	96	40	56	56	64	72	64	56	72
81	104	104	104	104	88	272	72	80	160	88	80	88	128	104	96	96	104	96	96	104
