Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.702s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	15	15.8	14.2	11	12.4	14	15.8	13	18.8	15.4	14.4	15.4	13.6	15	13.4	16.2	14.4	14.2	13.6	14.4
61	24	112	88	0	192	0	0	40	8	0	32	112	24	40	40	96	112	56	8	48
62	0	8	200	56	152	112	128	32	80	16	152	64	176	80	112	200	56	184	200	0
63	128	32	56	120	80	104	64	88	104	72	144	144	56	200	0	120	192	80	168	80
64	0	32	0	128	104	0	136	136	0	184	0	64	80	136	152	184	120	32	160	128
65	80	160	96	88	32	48	104	80	0	168	176	136	136	168	160	88	56	40	8	56
66	176	168	200	32	8	56	120	8	264	16	184	88	168	104	152	200	160	32	112	72
67	128	32	96	160	40	48	136	88	0	48	152	192	0	200	160	56	128	128	16	144
68	200	16	128	64	48	32	96	0	32	0	48	80	16	144	56	200	160	88	16	24
69	56	0	144	192	112	64	0	112	144	112	200	104	40	112	168	40	120	176	56	128
70	64	184	184	16	112	0	104	48	152	128	64	120	184	104	0	104	120	136	80	48
71	136	192	8	32	8	80	80	72	40	64	120	80	80	64	104	176	144	88	56	72
72	64	64	168	16	56	176	16	0	80	88	104	160	32	56	200	128	88	80	192	96
73	152	168	16	80	72	88	32	128	200	72	144	64	32	24	128	120	96	16	168	72
74	80	128	152	64	168	104	8	104	8	32	24	136	96	8	48	176	160	56	56	40
75	88	184	120	8	32	32	48	136	112	32	128	192	168	56	88	120	136	56	0	168
76	192	80	176	80	96	96	88	112	176	104	24	104	16	152	200	168	8	160	16	0
77	128	112	112	144	48	104	136	144	88	96	8	96	96	128	128	0	200	0	0	24
78	104	136	72	0	112	144	88	128	120	120	0	8	80	192	80	24	64	112	16	96
79	0	64	16	80	200	72	144	64	72	16	128	200	56	176	168	16	0	136	168	184
80	128	72	72	0	112	48	24	112	96	200	88	168	56	160	48	192	120	184	192	160
