Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.434s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.542	0.447	0.777	0.412	0.094	0.624	0.012	0.000
62.000	1.001	0.718	0.200	0.966	0.330	0.035	0.530	0.024	0.012
63.000	1.001	1.001	0.495	0.754	0.106	0.000	0.059	0.071	0.000
64.000	1.001	0.471	0.000	1.284	0.754	0.000	0.106	0.188	0.000
65.000	1.001	0.742	0.542	0.919	0.589	0.000	0.883	0.047	0.094
66.000	1.001	0.977	0.059	0.601	0.024	0.047	0.377	0.012	0.012
67.000	1.001	0.883	0.000	0.636	0.059	0.012	0.000	0.059	0.000
68.000	1.001	1.036	0.000	1.072	0.459	0.236	0.471	0.177	0.000
69.000	1.001	0.765	0.000	0.907	0.506	0.000	0.871	0.247	0.000
70.000	1.001	1.013	0.047	0.789	0.400	0.000	0.012	0.224	0.000
71.000	1.001	0.035	0.000	1.142	0.047	0.000	0.471	0.035	0.000
72.000	1.001	0.777	0.000	0.742	0.047	0.130	0.212	0.082	0.000
73.000	0.989	1.036	0.000	0.436	0.777	0.165	0.954	0.000	0.000
74.000	1.001	0.707	0.153	1.331	0.247	0.000	0.683	0.082	0.000
75.000	1.001	0.930	0.212	0.789	0.035	0.012	0.436	0.094	0.059
76.000	1.001	1.272	0.765	0.695	0.294	0.024	0.353	0.306	0.059
77.000	1.001	0.871	0.153	0.259	0.259	0.106	0.365	0.094	0.047
78.000	1.001	1.036	0.459	0.801	0.236	0.141	0.483	0.000	0.035
79.000	1.001	0.824	0.754	1.307	0.224	0.012	0.247	0.012	0.094
80.000	1.001	0.400	0.047	0.895	0.188	0.000	0.895	0.106	0.118
81.000	1.001	1.284	0.000	1.048	0.024	0.000	0.141	0.118	0.047
82.000	1.001	0.400	0.000	0.824	0.824	0.000	0.718	0.059	0.000
83.000	1.001	0.789	0.000	0.659	0.024	0.000	0.895	0.000	0.000
84.000	1.001	0.330	0.000	1.331	0.612	0.848	0.801	0.259	0.000
85.000	0.989	0.577	0.000	1.013	0.294	0.000	0.742	0.271	0.000
86.000	1.001	1.507	0.589	1.095	1.060	0.000	1.072	0.436	0.000
87.000	1.001	0.895	0.000	0.424	0.071	0.000	0.271	0.200	0.000
88.000	1.001	0.518	0.200	1.307	0.024	0.082	0.730	0.400	0.000
89.000	1.001	1.083	0.353	1.189	0.059	0.071	0.765	0.000	0.000
90.000	1.001	0.871	0.071	0.165	0.353	0.306	0.012	0.047	0.000
91.000	1.001	1.354	0.801	0.848	0.035	0.000	0.659	0.165	0.059
92.000	1.001	0.636	0.459	1.119	0.106	0.000	0.601	0.012	0.000
93.000	1.001	0.954	0.012	0.977	1.013	0.000	0.589	0.130	0.000
94.000	1.001	1.095	0.942	0.742	0.094	0.082	0.318	0.200	0.047
95.000	1.001	0.942	0.306	0.506	0.247	0.118	0.012	0.106	0.012
96.000	1.001	0.813	0.848	1.025	0.165	0.000	0.047	0.283	0.000
97.000	0.989	0.530	0.071	0.530	0.059	0.094	0.412	0.259	0.000
98.000	1.001	1.307	0.224	1.025	0.683	0.012	0.483	0.212	0.035
99.000	1.001	1.013	0.247	0.730	0.353	0.012	0.801	0.082	0.000
100.000	1.001	0.836	0.000	1.201	0.318	0.000	0.436	0.236	0.000
101.000	1.001	0.789	0.000	0.789	0.824	0.224	0.742	0.047	0.141
102.000	1.001	0.000	0.000	0.106	0.082	0.000	0.059	0.000	0.000
103.000	1.001	0.000	0.000	1.366	0.059	0.035	0.765	0.542	0.000
104.000	1.001	1.590	0.000	0.412	0.919	0.000	0.648	0.212	0.000
105.000	1.001	0.000	0.000	1.307	0.813	0.000	1.025	0.000	0.000
106.000	1.001	1.260	0.718	0.118	0.059	0.459	0.200	0.000	0.000
107.000	1.001	0.836	0.094	0.954	0.188	0.377	0.318	0.082	0.000
108.000	1.001	1.083	0.118	1.178	0.247	0.294	0.565	0.012	0.165
109.000	1.001	0.636	0.106	1.025	0.212	0.012	1.189	0.412	0.059
110.000	0.989	1.260	0.259	0.730	0.071	0.212	0.495	0.106	0.294
111.000	1.001	0.071	0.224	1.319	0.094	0.094	1.130	0.000	0.000
112.000	1.001	0.824	0.000	0.801	0.000	0.000	0.942	0.000	0.000
113.000	1.001	1.284	0.400	1.001	0.000	0.024	0.506	0.212	0.024
114.000	1.001	0.471	0.000	0.447	0.059	0.000	0.000	0.000	0.000
115.000	1.001	0.883	0.012	0.942	0.059	0.082	0.000	0.000	0.000
116.000	1.001	0.966	0.765	0.177	1.060	0.094	0.000	0.000	0.000
117.000	1.001	1.013	0.000	0.919	0.860	0.318	0.000	0.000	0.000
118.000	1.001	0.777	0.000	0.966	0.259	0.012	0.777	0.012	0.024
119.000	1.001	1.119	0.000	1.248	0.636	0.012	0.271	0.024	0.024
120.000	1.001	0.824	0.047	0.389	0.106	0.106	0.106	0.247	0.035
