Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.405s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.883	0.047	0.801	0.506	0.000	0.577	0.330	0.000
62.000	1.001	0.860	1.272	0.954	0.860	0.094	0.000	0.059	0.000
63.000	1.001	1.095	0.000	0.942	0.801	0.000	0.153	0.259	0.000
64.000	1.001	0.907	0.589	0.871	0.695	0.000	0.000	0.306	0.000
65.000	1.001	0.707	0.000	0.801	0.601	0.000	0.082	0.000	0.000
66.000	1.001	1.154	0.919	0.977	0.483	0.035	0.012	0.188	0.082
67.000	1.001	0.589	0.200	0.577	0.094	0.071	0.824	0.071	0.094
68.000	1.001	1.178	0.954	0.518	0.330	0.071	0.059	0.012	0.000
69.000	1.001	0.601	0.365	1.260	0.754	0.000	0.789	0.106	0.047
70.000	1.001	0.695	0.082	1.107	0.730	0.012	0.860	0.224	0.059
71.000	1.001	0.977	0.259	1.013	0.860	0.094	0.177	0.118	0.000
72.000	1.001	0.907	0.954	0.942	0.412	0.094	0.200	0.283	0.012
73.000	0.989	0.648	0.035	1.013	0.789	0.000	0.224	0.848	0.000
74.000	1.001	0.353	0.000	1.083	0.860	0.436	0.200	0.118	0.024
75.000	1.001	1.189	0.919	0.754	1.048	0.000	0.871	0.412	0.000
76.000	1.001	0.718	0.047	1.166	0.777	0.365	0.400	0.000	0.000
77.000	1.001	0.789	0.000	1.095	0.942	0.130	0.247	0.860	0.000
78.000	1.001	0.271	0.000	0.671	0.659	0.589	0.683	0.377	0.000
79.000	1.001	0.919	0.000	1.060	0.424	0.389	0.848	0.459	0.000
80.000	1.001	1.342	0.000	1.225	1.166	0.000	0.954	0.259	0.000
81.000	1.001	0.412	0.118	0.683	0.483	0.071	0.012	0.330	0.165
82.000	1.001	0.530	0.377	1.095	0.506	0.130	0.188	0.259	0.153
83.000	1.001	1.225	0.671	0.836	0.389	0.259	0.000	0.000	0.000
84.000	1.001	1.001	0.153	0.601	1.025	0.000	0.000	1.236	0.000
85.000	0.989	0.365	0.000	1.448	0.577	0.000	0.330	0.000	0.000
86.000	1.001	0.424	0.353	0.848	0.813	0.024	0.930	0.106	0.012
87.000	1.001	0.365	0.188	1.060	0.400	0.012	0.365	0.436	0.059
88.000	1.001	0.919	0.353	0.765	0.424	0.141	0.518	0.212	0.000
89.000	1.001	1.519	0.047	1.425	0.860	0.141	0.707	0.000	0.000
90.000	1.001	0.612	0.718	0.153	0.271	0.200	0.000	0.000	0.000
91.000	1.001	1.142	0.636	1.401	0.718	0.035	0.389	0.000	0.000
92.000	1.001	0.836	0.082	0.601	0.271	0.000	0.236	0.094	0.000
93.000	1.001	0.895	0.389	1.213	0.165	0.059	0.141	0.106	0.212
94.000	1.001	0.177	0.648	0.648	0.730	0.000	0.553	0.000	0.000
95.000	1.001	0.883	0.353	1.025	0.495	0.012	0.801	0.024	0.059
96.000	1.001	0.954	0.224	0.636	0.318	0.141	0.860	0.106	0.000
97.000	0.989	0.165	0.130	1.083	0.824	0.000	0.236	0.294	0.000
98.000	1.001	1.236	0.542	0.659	0.094	0.000	0.294	0.000	0.000
99.000	1.001	1.060	0.553	1.390	0.577	0.000	0.059	0.306	0.000
100.000	1.001	0.801	0.059	0.659	0.412	0.000	0.059	0.212	0.000
101.000	1.001	1.001	0.200	1.225	0.659	0.059	0.707	0.247	0.000
102.000	1.001	1.331	0.459	1.366	0.447	0.118	0.000	0.165	0.000
103.000	1.001	0.707	0.601	0.412	0.683	0.024	0.165	0.106	0.000
104.000	1.001	1.413	0.989	0.636	0.907	0.000	0.000	0.000	0.000
105.000	1.001	1.048	0.860	0.801	1.001	0.024	0.000	0.000	0.000
106.000	1.001	0.601	0.342	1.425	0.471	0.141	0.000	0.000	0.000
107.000	1.001	0.930	0.471	0.447	0.730	0.012	0.094	0.400	0.000
108.000	1.001	0.895	0.188	1.013	0.389	0.035	0.000	0.000	0.000
109.000	1.001	1.260	0.106	0.813	0.247	0.082	0.130	0.212	0.000
110.000	0.989	0.954	0.342	1.119	0.212	0.177	0.012	0.024	0.000
111.000	1.001	0.436	0.118	1.331	0.259	0.318	0.000	0.000	0.000
112.000	1.001	1.013	0.824	0.871	0.612	0.118	0.648	0.000	0.000
113.000	1.001	0.294	0.389	0.907	0.530	0.130	0.553	0.000	0.000
114.000	1.001	0.000	0.000	0.895	0.589	0.188	0.601	0.082	0.000
115.000	1.001	1.025	0.271	0.895	0.106	0.247	0.000	0.000	0.000
116.000	1.001	0.659	0.047	1.319	0.024	0.024	0.000	0.094	0.000
117.000	1.001	1.625	0.353	0.094	0.200	0.012	0.000	0.412	0.000
118.000	1.001	0.565	0.730	0.977	0.024	0.047	0.177	0.000	0.000
119.000	1.001	0.954	0.459	1.166	0.141	0.000	0.612	0.000	0.000
120.000	1.001	0.942	0.871	0.718	0.118	0.000	0.871	0.200	0.000
