Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.399s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
104.000	1.001	1.507	0.000	0.000	0.789	1.013	0.000	0.247	0.624	0.059	0.094	0.247	0.165	0.000	0.318	1.001
105.000	1.001	0.648	0.530	0.000	0.483	0.318	0.094	0.118	0.071	0.000	0.094	0.153	0.130	0.707	0.589	1.001
106.000	1.001	1.236	0.377	0.000	1.036	0.601	0.000	0.000	0.059	0.342	0.612	0.247	0.000	0.871	0.966	1.001
107.000	1.001	0.942	0.000	0.000	1.201	0.565	0.071	0.294	0.542	0.236	0.483	1.025	0.000	0.082	0.977	1.001
108.000	1.001	0.542	0.177	0.200	0.400	0.612	0.271	0.353	0.000	0.000	0.471	1.001	0.000	0.495	1.248	1.001
109.000	1.001	1.166	0.153	0.000	1.354	0.412	0.071	0.059	0.506	0.000	0.577	0.518	0.000	0.483	0.601	0.989
110.000	0.989	0.648	0.471	0.000	0.730	0.718	0.200	0.342	0.589	0.707	0.212	1.072	0.118	0.106	0.330	1.001
111.000	1.001	0.389	0.000	0.000	0.977	0.000	0.000	0.259	0.306	0.177	0.000	0.671	0.377	0.106	0.636	1.001
112.000	1.001	1.001	0.012	0.000	1.025	1.060	0.118	0.047	0.130	0.082	0.742	1.036	0.141	0.377	1.189	1.001
113.000	1.001	0.365	0.106	0.000	0.000	0.424	0.000	0.000	0.000	0.212	0.153	0.259	0.082	0.648	0.801	1.001
114.000	1.001	0.883	0.718	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.919	0.589	0.035	0.059	0.860	1.001
115.000	1.001	0.671	0.047	0.012	0.000	0.247	0.012	0.342	0.035	0.047	0.306	0.483	0.000	0.082	0.989	1.001
116.000	1.001	1.083	0.035	0.130	0.648	0.412	0.000	0.389	0.236	0.012	0.577	1.036	0.000	0.000	0.318	1.001
117.000	1.001	1.119	0.836	0.000	1.036	0.577	0.000	0.294	0.589	0.000	0.106	1.072	0.177	0.059	0.977	1.001
118.000	1.001	0.283	0.024	0.000	0.930	0.141	0.188	0.330	0.165	0.141	1.307	1.307	0.059	0.141	0.871	1.001
119.000	1.001	0.919	0.000	0.047	1.083	0.330	0.000	0.471	0.271	0.000	0.565	0.577	0.059	0.024	0.612	1.001
120.000	1.001	1.378	0.212	0.000	0.000	1.331	0.035	0.165	0.000	0.000	0.000	0.789	0.000	0.012	0.094	1.001
