Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.800s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
104.000	1.001	0.907	0.471	0.424	0.506	1.013	0.000	0.777	0.224	0.459	1.095	0.871	0.188	0.707	0.907	1.001
105.000	1.001	0.671	0.330	0.353	0.777	0.612	0.000	0.495	0.459	0.106	0.553	0.601	0.707	0.966	1.260	1.001
106.000	1.001	0.789	0.436	0.365	0.200	0.601	0.000	0.777	0.000	0.318	0.883	1.001	0.000	0.141	0.294	1.001
107.000	1.001	0.424	0.071	0.082	1.025	0.671	0.000	0.860	0.777	0.024	0.047	0.871	0.459	1.307	1.354	1.001
108.000	1.001	0.000	0.000	0.000	0.824	0.000	0.000	0.860	0.659	0.000	1.213	0.919	0.553	0.718	0.813	1.001
109.000	1.001	0.000	0.000	0.000	1.048	0.000	0.000	0.977	0.612	0.000	0.624	0.966	0.412	0.247	0.530	0.989
110.000	0.989	0.000	0.000	0.000	0.907	0.000	0.000	0.789	0.671	0.000	0.777	0.871	0.483	0.824	1.236	1.001
111.000	1.001	0.000	0.000	0.000	0.718	0.000	0.000	0.989	0.707	0.000	0.447	1.119	0.518	0.789	0.883	1.001
112.000	1.001	0.000	0.000	0.000	0.553	0.000	0.000	0.671	0.589	0.000	0.024	0.919	0.353	0.542	0.565	1.001
113.000	1.001	0.000	0.000	0.000	0.801	0.000	0.000	1.036	0.860	0.000	1.284	0.907	0.271	0.730	1.095	1.001
114.000	1.001	0.000	0.000	0.000	1.001	0.000	0.000	0.707	0.824	0.000	0.542	0.919	0.294	1.048	1.072	1.001
115.000	1.001	0.000	0.000	0.000	0.436	0.000	0.000	0.601	0.518	0.000	0.895	0.930	0.495	0.518	0.565	1.001
116.000	1.001	0.000	0.000	0.000	0.989	0.000	0.000	0.824	0.930	0.000	0.730	0.824	0.730	1.072	1.260	1.001
117.000	1.001	0.000	0.000	0.000	0.871	0.000	0.000	0.813	0.565	0.000	0.754	0.871	0.459	0.553	0.659	1.001
118.000	1.001	0.000	0.000	0.000	0.777	0.000	0.000	0.977	0.942	0.000	0.777	1.072	0.848	0.330	0.977	1.001
119.000	1.001	0.000	0.000	0.000	0.671	0.000	0.000	0.671	0.683	0.000	0.612	0.801	0.671	1.060	0.871	1.001
120.000	1.001	0.000	0.000	0.000	0.553	0.000	0.000	0.683	0.094	0.000	1.013	0.919	0.153	0.860	0.942	1.001
