Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.934s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.895	0.871	0.612	0.695	0.294	0.459	0.000	0.118
62.000	1.001	0.966	0.836	1.025	0.659	0.141	0.930	0.106	0.283
63.000	1.001	0.930	0.930	0.942	0.495	0.071	1.001	0.365	0.082
64.000	1.001	1.001	1.036	0.777	0.919	0.330	0.813	0.342	0.141
65.000	1.001	0.989	0.989	1.236	0.400	0.024	1.248	0.118	0.024
66.000	1.001	1.048	1.013	0.813	0.624	0.024	0.824	0.389	0.106
67.000	1.001	1.001	0.671	0.848	1.166	0.836	0.624	0.377	0.283
68.000	1.001	0.942	1.072	0.989	0.754	0.071	1.142	0.283	0.024
69.000	1.001	0.930	0.919	0.883	0.848	0.165	0.777	0.483	0.177
70.000	1.001	0.518	0.530	1.130	0.000	0.000	1.213	0.000	0.000
71.000	1.001	0.883	0.977	0.907	0.365	0.424	0.683	0.000	0.200
72.000	1.001	1.013	0.871	0.683	1.036	0.330	0.106	0.765	0.330
73.000	0.989	0.907	0.612	1.072	0.683	0.353	1.013	0.047	0.318
74.000	1.001	0.942	0.836	0.977	0.695	0.200	0.789	0.577	0.035
75.000	1.001	0.989	0.765	0.954	0.907	0.459	0.730	0.165	0.530
76.000	1.001	0.954	0.553	1.036	0.436	0.577	0.659	0.318	0.200
77.000	1.001	1.001	0.907	0.966	1.060	0.000	1.213	0.436	0.000
78.000	1.001	0.836	0.659	0.542	0.636	0.236	0.424	0.483	0.118
79.000	1.001	1.060	0.907	1.189	1.107	0.318	0.848	0.177	0.141
80.000	1.001	0.907	0.883	0.612	0.860	0.412	0.553	0.436	0.483
81.000	1.001	1.095	1.154	0.942	0.459	0.212	0.954	0.000	0.200
82.000	1.001	0.742	0.612	0.919	0.506	0.118	0.871	0.071	0.118
83.000	1.001	1.048	1.142	1.036	0.424	0.318	0.942	0.330	0.188
84.000	1.001	0.977	0.754	0.907	0.518	0.035	0.977	0.071	0.024
85.000	0.989	0.919	0.353	1.036	1.083	0.648	0.683	0.177	0.636
86.000	1.001	1.048	1.119	0.871	0.765	0.200	0.483	0.165	0.283
87.000	1.001	0.636	0.000	1.025	0.707	0.565	1.060	0.024	0.730
88.000	1.001	0.919	1.036	0.648	0.601	0.365	0.483	0.130	0.342
89.000	1.001	1.107	0.648	0.671	0.895	0.648	0.518	0.188	0.283
90.000	1.001	1.013	1.036	0.895	0.283	0.059	0.883	0.212	0.000
91.000	1.001	0.412	0.601	0.977	0.094	0.141	0.848	0.000	0.294
92.000	1.001	1.072	0.742	1.001	0.930	0.342	0.930	0.200	0.412
93.000	1.001	0.718	0.648	0.624	0.624	0.389	0.601	0.459	0.224
94.000	1.001	1.001	0.977	0.871	0.342	0.024	0.836	0.000	0.047
95.000	1.001	0.577	0.412	0.848	0.636	0.400	0.789	0.318	0.353
96.000	1.001	0.871	0.836	1.083	0.471	0.082	0.742	0.000	0.082
97.000	0.989	1.107	1.025	1.013	1.072	0.188	1.036	0.259	0.118
98.000	1.001	0.883	0.883	0.848	0.188	0.094	0.718	0.365	0.047
99.000	1.001	0.989	0.648	0.919	1.213	0.459	0.977	0.059	0.353
100.000	1.001	0.954	0.977	1.025	0.871	0.177	1.025	0.153	0.236
101.000	1.001	0.518	0.400	0.919	0.283	0.130	0.954	0.224	0.141
102.000	1.001	1.060	1.060	0.930	0.695	0.130	0.883	0.130	0.000
103.000	1.001	0.919	0.577	0.954	0.730	0.471	0.565	0.330	0.424
104.000	1.001	0.718	0.542	0.919	0.577	0.236	0.612	0.518	0.247
105.000	1.001	1.072	0.848	0.836	0.930	0.400	0.695	0.294	0.459
106.000	1.001	0.989	0.801	0.977	0.330	0.106	0.989	0.047	0.000
107.000	1.001	0.871	0.789	0.836	0.824	0.130	0.683	0.165	0.306
108.000	1.001	0.824	0.754	0.754	0.954	0.094	0.742	0.365	0.118
109.000	1.001	0.565	0.730	1.001	0.059	0.000	0.860	0.000	0.000
110.000	0.989	0.907	0.777	0.930	0.530	0.106	0.954	0.012	0.153
111.000	1.001	0.883	0.989	1.060	0.530	0.106	1.001	0.271	0.047
112.000	1.001	1.083	0.966	0.848	0.342	0.247	0.659	0.259	0.236
113.000	1.001	0.577	0.412	0.895	0.353	0.153	0.907	0.000	0.259
114.000	1.001	0.930	1.025	0.695	0.765	0.589	0.742	0.165	0.200
115.000	1.001	1.142	0.836	0.636	0.907	0.153	0.224	0.353	0.106
116.000	1.001	0.801	0.824	1.107	0.283	0.082	1.413	0.247	0.024
117.000	1.001	0.883	0.612	0.730	0.577	0.236	0.789	0.589	0.236
118.000	1.001	1.166	1.013	0.907	0.330	0.353	0.942	0.000	0.165
119.000	1.001	0.860	0.789	0.942	0.659	0.553	0.907	0.082	0.400
120.000	1.001	0.942	0.895	0.742	0.530	0.082	0.777	0.118	0.177
