Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.531s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
61.000	0.989	0.777	0.577	0.012	0.000	0.954	0.459	0.188	0.059	0.118	0.200	0.000	0.035	0.000	0.118	0.035	0.000	0.141	0.177	0.495	0.000	0.082	0.377	0.789	0.989
62.000	1.001	0.942	0.000	0.000	0.000	0.730	0.506	0.283	0.082	0.059	0.801	0.000	0.082	0.118	0.624	0.094	0.000	0.094	0.412	0.801	0.047	0.447	0.283	0.966	1.001
63.000	1.001	0.400	0.294	0.000	0.000	0.742	0.118	0.000	0.000	0.236	0.353	0.177	0.000	0.000	0.283	0.000	0.000	0.082	0.518	0.695	0.000	0.565	0.765	1.025	1.001
64.000	1.001	1.284	0.353	0.012	0.012	0.589	0.648	0.294	0.094	0.259	0.177	0.118	0.141	0.000	0.330	0.130	0.012	0.082	0.047	0.353	0.071	0.259	0.342	0.777	1.001
65.000	1.001	0.730	0.389	0.400	0.165	0.942	0.153	0.130	0.000	0.577	0.071	0.000	0.082	0.094	0.495	0.094	0.000	0.094	0.824	0.883	0.094	0.236	0.601	0.718	1.001
66.000	1.001	0.624	0.530	0.412	0.200	0.683	0.165	0.106	0.000	0.447	0.389	0.153	0.024	0.188	0.636	0.094	0.000	0.130	0.424	0.883	0.106	0.259	0.177	0.777	1.001
67.000	1.001	0.718	0.082	0.071	0.035	1.083	0.177	0.012	0.000	0.483	0.589	0.000	0.000	0.000	0.436	0.118	0.035	0.000	0.106	0.636	0.094	0.294	0.353	0.436	1.001
68.000	1.001	0.883	0.024	0.106	0.000	0.506	0.271	0.400	0.106	0.577	0.648	0.165	0.188	0.000	1.036	0.082	0.000	0.000	0.106	0.801	0.047	0.306	0.754	1.013	1.001
69.000	1.001	0.707	0.342	0.188	0.177	0.824	0.483	0.141	0.000	0.447	0.247	0.153	0.024	0.224	0.330	0.283	0.000	0.071	0.483	0.565	0.094	0.153	0.353	0.671	1.001
70.000	1.001	0.895	0.118	0.106	0.094	0.306	0.365	0.118	0.035	0.035	0.082	0.200	0.024	0.177	0.047	0.047	0.024	0.200	0.601	0.530	0.059	0.648	0.824	0.966	1.001
