Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.433s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
104.000	1.001	1.001	1.001	0.000	1.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
105.000	1.001	0.989	0.989	0.000	1.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
106.000	1.001	0.977	0.907	0.447	0.895	0.236	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107.000	1.001	0.977	0.765	0.919	1.048	0.883	0.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108.000	1.001	1.001	0.966	0.930	0.907	0.813	0.895	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
109.000	1.001	1.048	0.754	0.730	1.036	1.178	0.824	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
110.000	0.989	0.930	0.895	0.707	1.001	0.801	0.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
111.000	1.001	1.060	1.072	0.907	1.001	1.025	0.471	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112.000	1.001	1.013	1.001	1.154	0.930	0.907	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
113.000	1.001	0.989	0.259	0.153	1.107	1.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
114.000	1.001	1.013	0.000	0.000	0.989	1.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115.000	1.001	0.188	0.047	0.000	1.013	0.707	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116.000	1.001	1.013	0.589	0.047	0.942	0.648	0.742	0.000	0.000	0.000	0.271	0.000	0.000	0.000	0.000	0.000
117.000	1.001	1.095	0.624	0.024	0.954	0.447	0.636	0.012	0.000	0.000	0.106	0.000	0.000	0.000	0.000	0.000
118.000	1.001	1.013	0.459	0.330	0.954	0.954	0.012	0.012	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000
119.000	1.001	0.860	0.071	0.177	0.942	1.272	0.118	0.035	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000
120.000	1.001	1.048	1.413	1.460	0.860	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
