Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.441s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
110.000	0.989	0.860	0.589	0.000	0.000	1.001	0.754	0.035	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.035	0.106	0.071	0.000	0.447	0.000	0.000	0.294	0.989	1.001
111.000	1.001	0.707	0.306	0.000	0.000	0.754	0.895	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.412	1.154	0.000	0.118	0.236	0.389	1.001
112.000	1.001	0.542	0.094	0.000	0.000	0.954	0.848	0.447	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.907	0.000	0.035	0.082	1.342	1.001
113.000	1.001	1.072	0.424	0.082	0.000	1.048	0.377	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.342	0.518	0.848	0.024	0.389	0.365	0.989	1.001
114.000	1.001	0.377	0.118	0.000	0.000	0.648	0.565	0.012	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.471	0.612	0.730	0.000	0.000	0.777	0.860	1.001
115.000	1.001	0.824	0.542	0.012	0.047	0.636	0.330	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.294	0.671	0.518	0.000	0.000	0.424	1.248	1.001
116.000	1.001	0.707	0.459	0.012	0.000	1.213	0.530	0.082	0.000	0.000	0.000	0.000	0.024	0.012	0.000	0.000	0.000	0.059	0.318	0.542	0.000	0.059	0.754	0.836	1.001
117.000	1.001	0.318	0.648	0.000	0.000	0.966	0.236	0.000	0.000	0.000	0.000	0.000	0.000	0.130	0.000	0.000	0.000	0.000	0.648	0.954	0.000	0.012	0.342	1.001	1.001
118.000	1.001	0.483	0.377	0.024	0.000	0.530	0.424	0.035	0.000	0.000	0.024	0.518	0.012	0.000	0.000	0.000	0.000	0.000	0.495	0.930	0.000	0.000	0.106	0.212	1.001
119.000	1.001	0.942	0.071	0.012	0.000	1.119	0.624	0.000	0.000	0.000	0.000	0.071	0.071	0.094	0.000	0.000	0.000	0.094	0.718	0.989	0.000	0.035	0.153	0.542	1.001
120.000	1.001	1.095	1.236	0.000	0.000	0.930	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.012	0.000	0.000	0.000	0.153	0.130	0.589	0.000	0.035	0.153	1.048	1.001
