Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.477s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
61.000	0.989	0.671	0.294	0.165	0.624	0.612	0.000	0.412	0.389	0.024	0.141	0.883	0.024	0.671	0.883	0.989
62.000	1.001	0.695	0.848	0.659	0.000	0.601	0.000	0.318	0.000	0.318	0.259	0.871	0.000	0.989	1.036	1.001
63.000	1.001	0.871	0.294	0.400	0.813	0.612	0.000	0.942	0.318	0.236	0.471	0.942	0.400	0.801	0.742	1.001
64.000	1.001	1.083	0.495	0.035	0.683	0.836	0.000	0.459	0.530	0.094	0.000	0.553	0.330	0.907	1.154	1.001
65.000	1.001	0.801	0.577	0.565	0.718	0.742	0.000	0.954	0.624	0.106	1.001	1.178	0.495	0.824	0.789	1.001
66.000	1.001	0.718	0.636	0.459	0.754	0.342	0.000	0.801	0.518	0.000	0.860	0.954	0.601	0.683	0.860	1.001
67.000	1.001	0.801	0.871	0.577	0.601	0.141	0.000	0.895	0.342	0.000	0.754	0.789	0.294	0.577	0.860	1.001
68.000	1.001	0.236	0.353	0.400	0.895	0.071	0.000	0.718	0.695	0.047	0.671	0.919	0.200	0.389	0.377	1.001
69.000	1.001	0.836	0.659	0.718	0.742	0.424	0.000	0.989	0.506	0.094	0.224	0.836	0.389	1.001	1.354	1.001
70.000	1.001	0.671	0.459	0.400	0.542	0.801	0.000	0.671	0.565	0.365	0.577	0.754	0.471	0.801	0.860	1.001
71.000	1.001	0.765	0.506	0.342	1.189	0.306	0.000	0.930	0.754	0.000	0.542	0.883	0.777	0.707	0.930	1.001
72.000	1.001	0.977	0.447	0.471	1.083	0.801	0.000	0.860	0.601	0.330	0.765	0.977	0.742	0.848	0.954	1.001
73.000	0.989	0.754	0.436	0.742	0.954	0.377	0.000	0.765	0.942	0.024	0.742	0.836	0.707	0.966	0.777	0.989
74.000	1.001	0.542	0.306	0.294	0.424	0.259	0.000	0.789	0.094	0.000	1.060	1.025	0.141	0.271	0.695	1.001
75.000	1.001	0.954	0.389	0.353	1.201	0.801	0.000	0.860	0.530	0.459	0.871	0.930	0.459	0.801	0.954	1.001
76.000	1.001	0.977	0.683	0.447	0.801	0.824	0.000	0.459	0.671	0.071	0.718	0.919	0.330	0.742	1.001	1.001
77.000	1.001	0.789	0.400	0.495	0.695	0.577	0.000	1.248	0.389	0.353	0.177	0.765	0.389	0.836	0.883	1.001
78.000	1.001	0.966	0.365	0.259	0.659	0.765	0.000	0.907	0.412	0.306	0.577	1.036	0.200	0.742	0.742	1.001
79.000	1.001	0.671	0.271	0.224	0.942	0.012	0.000	0.730	0.966	0.000	1.095	1.025	0.919	0.765	1.130	1.001
80.000	1.001	1.001	0.824	0.306	0.789	0.742	0.000	0.518	0.447	0.118	0.895	0.930	0.471	0.954	0.942	1.001
81.000	1.001	0.730	0.813	0.648	0.518	0.659	0.000	0.094	0.483	0.106	0.612	0.777	0.353	1.130	0.919	1.001
82.000	1.001	0.542	0.247	0.377	0.907	0.459	0.000	1.130	0.683	0.047	0.294	0.742	0.589	0.353	0.919	1.001
83.000	1.001	0.730	0.754	0.624	0.765	0.553	0.000	1.166	0.400	0.400	0.942	1.319	0.106	0.259	0.695	1.001
84.000	1.001	0.695	0.506	0.601	0.942	0.000	0.000	0.271	0.648	0.000	0.612	0.671	0.224	1.095	0.895	1.001
85.000	0.989	0.624	0.495	0.365	0.506	0.707	0.000	0.695	0.412	0.377	0.636	0.730	0.236	0.648	0.801	0.989
86.000	1.001	0.707	0.589	0.259	0.883	0.389	0.000	1.025	0.730	0.200	0.671	1.013	0.247	0.789	0.895	1.001
87.000	1.001	0.553	0.294	0.283	0.883	0.436	0.000	0.400	0.601	0.153	0.742	0.730	0.294	0.742	0.942	1.001
88.000	1.001	0.659	0.589	0.247	0.930	0.530	0.000	0.942	0.424	0.000	0.813	1.130	0.365	0.659	0.977	1.001
89.000	1.001	1.036	0.848	0.577	0.506	0.000	0.000	0.659	0.212	0.000	0.966	0.871	0.071	0.589	0.871	1.001
90.000	1.001	0.730	0.165	0.294	0.506	0.789	0.000	1.083	0.330	0.365	0.565	0.930	0.365	0.977	0.718	1.001
91.000	1.001	0.765	0.459	0.294	1.189	0.506	0.000	0.624	0.695	0.000	0.659	0.683	0.365	0.836	0.966	1.001
92.000	1.001	0.436	0.236	0.130	0.683	0.283	0.000	0.271	0.342	0.012	0.907	0.895	0.412	0.636	0.860	1.001
93.000	1.001	0.718	0.353	0.200	0.495	0.801	0.000	0.813	0.377	0.330	0.801	0.824	0.259	0.883	0.836	1.001
94.000	1.001	0.718	0.801	0.777	1.130	0.365	0.000	0.671	0.436	0.012	0.659	0.813	0.447	0.707	0.883	1.001
95.000	1.001	0.871	0.742	0.318	0.907	0.801	0.000	0.895	0.612	0.082	0.742	0.966	0.294	0.919	0.977	1.001
96.000	1.001	0.553	0.459	0.342	0.824	0.247	0.000	0.495	0.648	0.000	0.860	0.683	0.671	0.695	0.624	1.001
97.000	0.989	0.153	0.071	0.000	0.871	0.000	0.000	0.742	0.860	0.000	0.801	1.095	0.707	0.530	0.895	0.989
