Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.519s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
61.000	0.989	0.777	0.671	0.447	0.553	0.200	0.000	0.035	0.236	0.000	0.553	0.789	0.259	0.436	0.636	0.989
62.000	1.001	0.789	0.424	0.283	0.612	0.589	0.012	0.424	0.306	0.000	0.577	0.907	0.518	0.871	1.236	1.001
63.000	1.001	0.742	0.271	0.353	0.377	0.695	0.024	0.765	0.342	0.000	0.624	0.836	0.447	0.742	0.695	1.001
64.000	1.001	0.930	0.177	0.000	0.612	0.624	0.082	0.342	0.447	0.306	0.718	0.707	0.306	0.683	0.801	1.001
65.000	1.001	0.518	0.224	0.200	0.683	0.035	0.000	0.624	0.671	0.000	0.754	0.907	0.659	0.624	0.954	1.001
66.000	1.001	0.436	0.141	0.353	0.824	0.224	0.000	0.506	0.659	0.000	0.624	0.718	0.495	0.813	0.860	1.001
67.000	1.001	0.612	0.400	0.236	0.930	0.212	0.283	1.001	0.389	0.000	0.836	0.977	0.565	0.777	0.718	1.001
68.000	1.001	0.707	0.447	0.283	0.636	0.318	0.071	0.459	0.506	0.000	0.789	0.742	0.483	0.777	0.824	1.001
69.000	1.001	0.436	0.177	0.094	0.966	0.153	0.000	0.801	0.495	0.000	0.707	0.954	0.601	0.671	0.883	1.001
70.000	1.001	0.695	0.212	0.318	0.553	0.707	0.047	0.813	0.530	0.188	0.966	0.930	0.412	0.624	0.860	1.001
71.000	1.001	0.942	0.718	0.860	0.683	0.459	0.130	0.483	0.742	0.000	0.707	0.789	0.271	1.013	0.895	1.001
72.000	1.001	0.813	0.813	0.342	0.695	0.283	0.000	0.683	0.530	0.059	0.789	0.966	0.530	0.919	1.072	1.001
73.000	0.989	0.400	0.071	0.082	1.060	0.177	0.000	0.813	0.824	0.000	0.777	0.977	0.212	0.424	0.659	0.989
74.000	1.001	0.707	0.624	0.412	0.683	0.318	0.012	0.459	0.530	0.118	0.530	0.659	0.424	1.083	1.083	1.001
75.000	1.001	0.671	0.212	0.271	0.224	0.636	0.153	0.860	0.153	0.483	0.330	0.824	0.165	0.848	0.989	1.001
