Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.798s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
89.000	1.001	0.930	0.895	0.000	0.000	0.848	0.330	0.118	0.000	0.000	0.565	0.000	0.000	0.000	0.000	0.259	0.000	0.000	0.000	0.000	0.365	0.000	0.000	0.000	0.000
90.000	1.001	0.836	0.400	0.000	0.000	1.001	0.954	0.177	0.000	0.000	0.283	0.353	0.000	0.000	0.000	0.130	0.035	0.000	0.000	0.000	0.177	0.000	0.000	0.000	0.000
91.000	1.001	0.801	0.683	0.000	0.000	0.577	0.989	0.236	0.000	0.000	0.707	0.436	0.000	0.000	0.000	0.177	0.047	0.000	0.000	0.000	0.106	0.024	0.000	0.000	0.000
92.000	1.001	0.530	0.400	0.000	0.000	0.871	0.259	0.071	0.035	0.153	0.447	0.153	0.000	0.000	0.000	0.024	0.012	0.000	0.000	0.000	0.059	0.035	0.000	0.000	0.000
93.000	1.001	1.142	0.601	0.000	0.000	0.671	1.119	0.283	0.059	0.000	0.153	0.224	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000
94.000	1.001	0.589	0.236	0.000	0.000	1.083	0.495	0.459	0.047	0.035	0.601	0.200	0.000	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.000
95.000	1.001	1.083	0.824	0.000	0.000	1.048	0.000	0.000	0.000	0.000	0.624	0.000	0.000	0.000	0.000	0.306	0.000	0.000	0.000	0.000	0.165	0.000	0.000	0.000	0.000
96.000	1.001	0.718	0.718	0.000	0.000	0.789	0.765	0.365	0.059	0.035	0.342	0.000	0.000	0.000	0.000	0.247	0.000	0.000	0.000	0.000	0.212	0.000	0.000	0.000	0.000
97.000	0.989	0.730	0.530	0.000	0.000	0.695	0.530	0.165	0.000	0.000	0.377	0.224	0.000	0.000	0.000	0.188	0.024	0.000	0.000	0.000	0.224	0.000	0.000	0.000	0.000
98.000	1.001	1.072	1.166	0.000	0.000	0.495	0.577	0.412	0.071	0.000	0.236	0.035	0.000	0.000	0.000	0.236	0.035	0.000	0.000	0.000	0.165	0.012	0.000	0.000	0.000
