Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.421s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
104.000	1.001	0.789	0.000	0.000	1.013	0.742	0.000	0.589	0.495	0.000	0.000	0.565	0.024	0.683	1.401	1.001
105.000	1.001	0.813	0.224	0.000	1.095	0.353	0.000	0.400	0.271	0.153	0.177	1.613	0.000	0.447	0.977	1.001
106.000	1.001	0.718	0.365	0.000	0.695	0.801	0.153	0.153	0.035	0.000	0.130	0.695	0.059	0.589	0.589	1.001
107.000	1.001	1.272	0.177	0.000	0.836	0.177	0.177	0.353	0.294	0.188	0.153	0.671	0.188	0.259	0.954	1.001
108.000	1.001	0.636	0.059	0.024	0.895	0.907	0.130	0.377	0.577	0.247	0.377	1.048	0.000	0.483	0.966	1.001
109.000	1.001	1.154	1.178	0.188	0.930	0.365	0.047	0.141	1.013	0.000	0.589	0.601	0.035	0.330	1.178	0.989
110.000	0.989	0.989	0.860	0.059	0.860	0.400	0.200	0.212	0.035	0.530	0.153	0.871	0.000	0.000	0.989	1.001
111.000	1.001	0.977	0.447	0.000	1.083	0.801	0.365	0.082	0.271	0.012	0.459	0.695	0.035	0.247	0.860	1.001
112.000	1.001	0.754	0.495	0.000	0.577	0.294	0.000	0.683	0.118	0.247	0.377	1.307	0.082	0.471	0.671	1.001
113.000	1.001	0.624	0.059	0.000	0.377	0.506	0.165	0.424	0.518	0.000	0.059	0.860	0.000	0.424	0.930	1.001
114.000	1.001	1.390	0.212	0.012	0.777	0.447	0.130	0.082	0.671	0.012	0.436	0.966	0.059	0.306	0.848	1.001
115.000	1.001	0.577	0.259	0.000	0.777	0.742	0.047	0.789	0.106	0.400	0.188	0.824	0.118	0.012	0.813	1.001
116.000	1.001	1.025	0.518	0.059	1.272	0.730	0.082	0.342	0.236	0.000	0.553	0.789	0.059	0.518	1.060	1.001
117.000	1.001	0.966	0.212	0.000	0.754	0.271	0.342	0.695	0.436	0.059	0.059	0.565	0.165	0.106	0.671	1.001
118.000	1.001	1.072	0.306	0.106	0.813	0.153	0.047	0.659	0.412	0.306	0.518	0.801	0.059	0.224	0.601	1.001
119.000	1.001	0.789	0.577	0.071	0.824	0.553	0.141	0.389	0.000	0.024	0.389	0.577	0.000	0.612	0.895	1.001
120.000	1.001	0.483	0.318	0.000	0.824	0.012	0.035	0.801	0.860	0.318	0.483	1.331	0.000	0.047	0.730	1.001
