Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.444s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
61.000	0.989	0.565	0.012	0.000	0.742	0.553	0.000	0.059	0.035	0.000	0.306	0.659	0.000	0.318	0.695	0.989
62.000	1.001	1.072	0.188	0.071	0.801	0.012	0.000	0.035	0.742	0.177	0.294	0.601	0.259	0.000	0.118	1.001
63.000	1.001	0.742	0.224	0.024	0.683	0.094	0.000	0.153	0.024	0.000	0.330	0.377	0.012	0.094	1.154	1.001
64.000	1.001	0.930	0.200	0.000	1.072	0.094	0.000	0.000	0.071	0.024	0.012	0.813	0.130	0.365	1.272	1.001
65.000	1.001	0.907	0.000	0.000	1.154	0.271	0.035	0.247	0.224	0.000	0.730	0.966	0.000	0.412	0.671	1.001
66.000	1.001	0.659	0.118	0.236	0.259	0.130	0.082	0.212	0.000	0.024	0.224	0.718	0.000	0.683	1.272	1.001
67.000	1.001	1.248	0.094	0.094	0.871	0.754	0.000	0.495	0.000	0.000	0.059	1.213	0.059	0.707	0.671	1.001
68.000	1.001	0.777	0.930	0.000	0.000	0.306	0.000	0.000	0.000	0.082	0.718	0.035	0.035	0.283	1.095	1.001
69.000	1.001	0.659	0.565	0.000	1.119	0.153	0.000	0.718	0.224	0.000	0.848	1.142	0.024	1.036	0.977	1.001
70.000	1.001	1.178	0.471	0.000	0.824	0.954	0.024	0.000	0.188	0.000	0.177	0.330	0.177	0.389	0.989	1.001
71.000	1.001	0.836	0.259	0.000	0.919	0.306	0.094	0.000	0.130	0.082	0.024	0.365	0.000	0.283	0.542	1.001
72.000	1.001	1.060	0.224	0.000	0.871	0.330	0.459	0.412	0.000	0.212	0.283	1.236	0.000	0.294	1.201	1.001
73.000	0.989	0.718	0.495	0.012	0.765	0.000	0.024	0.000	0.659	0.118	0.565	0.612	0.000	0.930	1.166	0.989
74.000	1.001	0.718	0.000	0.000	0.989	0.813	0.000	0.000	0.954	0.071	0.000	0.000	0.071	0.624	0.542	1.001
75.000	1.001	0.954	0.236	0.000	0.495	0.047	0.212	0.000	0.130	0.071	0.118	1.095	0.000	0.271	0.942	1.001
76.000	1.001	0.553	0.447	0.012	0.919	0.200	0.000	1.201	0.259	0.106	0.330	0.883	0.000	0.153	0.813	1.001
77.000	1.001	1.072	0.730	0.047	0.188	0.000	0.024	0.047	0.106	0.000	0.671	0.895	0.294	0.424	0.200	1.001
78.000	1.001	0.707	0.330	0.059	0.989	0.188	0.000	0.589	0.871	0.000	0.047	0.977	0.000	0.106	1.001	1.001
79.000	1.001	0.707	0.365	0.000	0.271	0.059	0.000	0.412	0.553	0.000	0.436	0.907	0.012	0.565	0.777	1.001
80.000	1.001	0.577	0.141	0.495	1.437	0.483	0.000	0.106	0.012	0.024	0.459	0.789	0.000	0.436	1.248	1.001
81.000	1.001	1.166	0.553	0.106	0.506	0.059	0.283	0.518	0.035	0.318	0.024	1.307	0.000	0.118	0.707	1.001
82.000	1.001	0.542	0.283	0.035	0.130	0.024	0.000	0.118	0.082	0.000	0.330	0.718	0.035	0.518	0.495	1.001
83.000	1.001	0.777	0.000	0.000	0.000	0.000	0.000	0.000	0.118	0.306	0.000	0.071	0.412	0.294	1.225	1.001
84.000	1.001	0.495	0.000	0.000	0.601	0.035	0.000	0.000	0.153	0.259	0.118	0.848	0.082	0.082	0.577	1.001
85.000	0.989	1.095	0.165	0.000	1.130	0.106	0.082	0.000	0.082	0.082	0.601	0.000	0.000	0.801	0.977	0.989
86.000	1.001	0.754	0.377	0.000	0.789	0.177	0.000	0.000	0.000	0.212	0.094	1.130	0.000	0.718	1.272	1.001
87.000	1.001	0.695	0.377	0.000	1.166	0.553	0.000	0.671	0.000	0.000	0.777	0.919	0.000	0.330	0.707	1.001
88.000	1.001	0.683	0.730	0.000	1.107	0.000	0.000	0.765	0.400	0.000	0.459	0.977	0.059	0.589	0.342	1.001
89.000	1.001	0.824	0.624	0.024	0.801	0.542	0.294	0.224	0.200	0.094	0.059	1.107	0.082	0.483	1.083	1.001
90.000	1.001	0.436	0.000	0.000	0.624	0.330	0.047	0.389	0.106	0.153	0.777	0.883	0.400	0.035	0.436	1.001
91.000	1.001	1.166	0.035	0.000	1.154	0.306	0.094	0.000	0.271	0.224	0.236	0.695	0.082	0.247	0.942	1.001
92.000	1.001	0.777	0.236	0.000	0.365	0.059	0.012	0.000	0.789	0.318	0.365	1.072	0.247	0.436	1.178	1.001
93.000	1.001	0.707	0.094	0.000	1.189	0.000	0.035	0.930	0.000	0.000	0.035	0.966	0.000	0.883	0.542	1.001
94.000	1.001	0.836	0.577	0.000	0.624	0.000	0.000	0.342	0.000	0.188	0.977	0.353	0.000	0.247	0.483	1.001
95.000	1.001	0.860	0.224	0.294	1.236	0.200	0.177	0.824	0.601	0.000	0.165	1.448	0.188	0.188	0.436	1.001
96.000	1.001	0.612	0.424	0.118	0.730	0.860	0.000	0.200	0.082	0.330	0.459	0.907	0.000	0.165	0.718	1.001
97.000	0.989	0.577	0.271	0.047	1.130	0.224	0.353	0.271	0.106	0.035	0.424	0.648	0.000	0.400	0.612	0.989
98.000	1.001	1.213	0.000	0.094	0.860	0.141	0.012	0.024	0.601	0.000	0.236	1.366	0.000	0.577	1.142	1.001
99.000	1.001	0.671	0.024	0.082	0.742	0.130	0.130	1.319	0.294	0.071	0.059	0.801	0.012	0.707	0.294	1.001
100.000	1.001	0.954	0.000	0.012	0.836	0.177	0.012	0.224	0.601	0.047	0.035	0.601	0.000	0.283	1.048	1.001
101.000	1.001	1.142	0.506	0.047	1.048	0.365	0.012	0.224	0.082	0.342	0.624	0.907	0.000	0.024	0.483	1.001
102.000	1.001	0.577	0.024	0.000	0.942	0.271	0.000	0.082	0.200	0.177	0.224	0.671	0.000	0.789	0.412	1.001
103.000	1.001	1.001	0.153	0.000	0.553	0.765	0.000	0.236	0.247	0.082	0.306	0.671	0.000	0.742	1.001	1.001
104.000	1.001	0.471	0.071	0.000	0.318	0.377	0.306	0.247	0.224	0.318	0.612	0.966	0.047	0.094	1.236	1.001
105.000	1.001	1.366	0.342	0.000	1.295	0.000	0.035	0.000	0.035	0.447	0.212	0.659	0.294	0.942	1.001	1.001
106.000	1.001	0.836	0.671	0.012	0.683	0.106	0.059	0.094	0.200	0.000	0.106	0.977	0.082	0.330	0.871	1.001
107.000	1.001	0.930	0.071	0.000	0.789	0.754	0.000	0.919	0.730	0.047	0.200	1.236	0.318	0.153	0.777	1.001
108.000	1.001	0.848	0.271	0.059	0.565	0.424	0.000	0.577	0.259	0.236	0.153	0.824	0.000	0.000	0.977	1.001
109.000	1.001	1.201	0.542	0.165	0.895	0.459	0.012	0.365	0.224	0.047	0.318	0.683	0.000	0.047	0.024	0.989
110.000	0.989	0.624	0.389	0.389	0.353	0.224	0.000	0.118	0.000	0.153	0.000	0.989	0.000	0.565	0.400	1.001
111.000	1.001	1.095	0.000	0.000	1.013	0.530	0.071	0.047	0.259	0.118	0.118	0.954	0.024	0.412	1.036	1.001
112.000	1.001	1.060	0.000	0.000	0.765	0.330	0.000	0.224	0.589	0.118	0.353	1.236	0.153	0.259	1.036	1.001
113.000	1.001	0.789	0.506	0.000	0.306	0.000	0.035	0.895	0.624	0.059	0.624	0.860	0.400	0.000	0.565	1.001
114.000	1.001	0.813	0.236	0.000	1.178	0.059	0.153	0.742	0.930	0.259	0.424	0.989	0.118	0.000	1.142	1.001
115.000	1.001	0.765	0.436	0.318	1.213	0.000	0.000	0.930	0.824	0.483	0.094	1.025	0.000	0.447	1.072	1.001
116.000	1.001	0.754	0.000	0.035	0.330	0.648	0.094	0.318	0.000	0.106	0.153	0.718	0.000	0.365	0.789	1.001
117.000	1.001	1.272	0.553	0.224	0.707	0.177	0.047	0.954	1.119	0.236	0.000	1.130	0.153	0.495	1.331	1.001
118.000	1.001	0.765	0.188	0.000	0.577	0.306	0.141	0.400	0.671	0.047	0.200	0.977	0.153	0.907	0.648	1.001
119.000	1.001	0.777	0.000	0.236	1.284	0.236	0.106	0.871	1.095	0.024	0.071	0.471	0.000	0.035	0.012	1.001
120.000	1.001	1.130	0.000	0.035	0.813	0.765	0.224	0.789	0.930	0.082	0.094	1.048	0.035	0.236	0.966	1.001
