Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.594s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.718	0.718	0.895	0.377	0.000	0.436	0.318	0.012
62.000	1.001	0.659	0.141	1.060	0.506	0.000	0.860	0.601	0.707
63.000	1.001	1.013	1.378	0.930	0.212	0.000	0.707	0.624	0.483
64.000	1.001	0.977	1.154	0.836	0.612	0.000	0.754	0.765	0.671
65.000	1.001	0.942	0.765	0.930	1.060	0.000	0.271	0.165	0.259
66.000	1.001	0.577	0.659	0.989	0.483	0.000	0.836	0.730	0.495
67.000	1.001	1.201	1.072	0.695	0.153	0.000	0.636	0.718	0.624
68.000	1.001	1.025	1.025	0.824	1.236	0.000	0.377	0.471	0.082
69.000	1.001	0.813	0.895	0.695	0.966	0.012	0.495	0.342	0.495
70.000	1.001	0.648	0.718	0.483	0.130	0.306	0.271	0.271	0.188
71.000	1.001	1.001	0.930	1.272	1.001	0.553	1.225	0.094	0.059
72.000	1.001	1.119	1.095	0.977	0.977	0.000	0.907	0.000	0.000
73.000	0.989	1.001	1.025	1.036	1.001	0.000	0.954	0.000	0.000
74.000	1.001	1.036	1.013	1.001	1.036	0.000	1.154	0.000	0.000
75.000	1.001	0.860	0.883	0.989	0.977	0.000	1.001	0.000	0.000
76.000	1.001	1.083	0.824	1.001	0.765	0.000	0.447	0.000	0.000
77.000	1.001	1.013	0.966	0.895	0.836	0.365	0.895	0.000	0.000
78.000	1.001	0.942	0.860	1.013	1.025	0.895	0.966	0.000	0.000
79.000	1.001	0.989	0.919	1.083	0.389	0.683	1.130	0.000	0.000
80.000	1.001	1.001	1.001	0.765	1.119	1.001	0.671	0.000	0.000
81.000	1.001	0.942	0.718	1.178	1.083	0.801	1.166	0.000	0.000
82.000	1.001	0.966	1.142	1.001	0.683	1.072	0.919	0.000	0.000
83.000	1.001	0.907	0.777	0.989	1.036	0.789	1.060	0.000	0.000
84.000	1.001	0.836	0.883	0.942	0.848	0.848	0.942	0.000	0.000
85.000	0.989	1.083	1.083	1.072	1.189	0.306	1.036	0.000	0.000
86.000	1.001	0.954	0.919	0.989	0.954	0.000	1.036	0.000	0.000
87.000	1.001	1.060	1.013	0.954	1.001	0.000	0.942	0.000	0.000
88.000	1.001	0.977	0.966	1.048	1.048	0.000	1.001	0.000	0.000
89.000	1.001	0.765	0.754	1.013	1.001	0.000	1.025	0.000	0.000
90.000	1.001	1.013	1.060	0.942	0.954	0.000	0.966	0.000	0.000
91.000	1.001	0.977	0.977	1.060	1.036	0.000	0.989	0.000	0.000
92.000	1.001	0.977	0.930	1.001	1.025	0.000	1.036	0.000	0.000
93.000	1.001	1.048	0.342	0.989	0.989	0.000	0.942	0.000	0.000
94.000	1.001	1.001	0.000	1.001	1.001	0.000	1.001	0.000	0.000
95.000	1.001	1.001	0.000	1.001	1.001	0.000	0.224	0.000	0.000
96.000	1.001	1.001	0.707	1.001	0.989	0.000	0.000	0.000	0.000
97.000	0.989	1.001	1.001	1.001	1.013	0.000	0.000	0.000	0.000
98.000	1.001	1.001	1.001	1.001	0.989	0.000	0.000	0.000	0.000
99.000	1.001	1.001	1.001	1.001	1.013	0.000	0.000	0.000	0.000
100.000	1.001	1.001	1.001	1.001	1.001	0.000	0.000	0.000	0.000
101.000	1.001	1.001	0.966	0.977	0.977	0.000	0.000	0.000	0.000
102.000	1.001	0.989	0.942	1.013	1.013	0.000	0.000	0.000	0.000
103.000	1.001	0.977	1.060	0.919	0.895	0.000	0.000	0.259	0.000
104.000	1.001	1.001	0.966	1.060	1.048	0.000	0.000	0.483	0.000
105.000	1.001	1.036	1.001	0.966	1.001	0.000	0.000	1.001	0.000
106.000	1.001	0.954	0.789	0.954	0.919	0.000	0.000	0.601	0.000
107.000	1.001	1.025	0.883	1.048	0.966	0.400	0.000	1.072	0.094
108.000	1.001	0.966	0.801	1.013	0.683	0.683	0.000	0.318	0.212
109.000	1.001	0.907	0.624	0.907	0.860	0.400	0.000	0.695	0.483
110.000	0.989	1.013	1.130	0.989	0.306	1.119	0.000	0.106	0.094
111.000	1.001	1.048	1.107	0.742	0.707	0.813	0.000	0.118	0.071
112.000	1.001	0.883	0.836	1.048	0.577	0.907	0.000	0.165	0.141
113.000	1.001	0.977	1.013	1.048	1.248	0.553	0.000	0.000	0.000
114.000	1.001	0.966	0.942	1.036	1.048	0.000	0.000	0.000	0.000
115.000	1.001	1.013	1.013	0.942	0.930	0.000	0.000	0.306	0.259
116.000	1.001	0.989	0.966	0.989	0.589	0.000	0.000	0.471	0.636
117.000	1.001	1.001	0.813	1.001	0.742	0.000	0.000	0.919	0.447
118.000	1.001	1.001	1.025	0.954	1.142	0.000	0.000	1.048	0.000
119.000	1.001	0.989	0.071	1.036	0.966	0.012	0.000	0.942	0.000
120.000	1.001	0.966	0.848	0.977	0.860	0.871	0.000	0.330	0.318
