Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.774s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	10.8	13.6	15.6	14.6	13.8	15.6	15	15.6	13.2	16	16.2	12.8	12.4	13.4	14.8	11.8	11.4	14
61	0	0	0	0	304	512	408	392	456	592	872	280	176	440	424	0	312	0
62	0	0	0	0	824	160	952	792	0	504	272	848	152	168	0	888	672	656
63	0	0	0	0	416	0	720	616	472	0	880	56	96	120	144	848	688	392
64	0	0	0	0	512	872	168	992	88	488	816	0	248	880	24	0	400	0
65	0	0	0	0	232	640	240	120	856	704	840	256	280	856	216	600	424	312
66	0	0	0	0	704	632	592	528	536	936	720	0	0	0	360	216	0	96
67	0	0	0	0	272	312	600	344	480	440	728	512	464	712	712	640	408	0
68	0	0	0	0	128	952	376	32	376	912	448	384	504	288	864	368	208	640
69	0	0	0	0	216	432	712	32	688	704	584	672	96	0	448	928	424	448
70	0	0	0	0	0	80	608	648	352	200	624	224	192	104	192	200	368	120
71	0	0	0	0	904	336	704	368	504	344	736	904	832	248	184	744	0	352
72	0	0	0	0	248	88	80	152	616	528	232	240	200	416	632	144	320	0
73	8	0	0	0	544	872	760	0	672	0	128	816	456	448	840	136	808	856
74	0	0	0	0	744	832	336	328	8	384	496	728	280	104	408	864	32	240
75	0	0	0	0	0	416	296	176	808	264	872	104	72	696	952	320	736	0
76	0	8	8	0	608	488	0	136	0	80	416	280	344	232	280	0	632	312
77	0	0	0	8	808	632	736	344	200	952	464	848	272	800	96	384	200	784
78	0	0	0	0	128	432	664	0	304	664	416	64	768	512	928	864	200	744
79	0	0	0	0	704	600	640	264	336	776	160	752	368	760	688	312	56	464
80	0	0	0	0	592	496	0	584	0	296	920	760	96	80	88	936	424	512
81	0	0	0	0	704	0	504	376	328	816	472	752	624	680	408	280	760	8
82	0	0	0	0	808	616	328	816	0	888	432	680	608	880	16	72	608	800
83	0	0	0	0	536	344	0	256	304	520	160	72	120	240	64	472	176	592
84	0	0	0	0	352	384	288	0	1032	360	328	120	624	504	768	0	16	568
85	0	0	0	0	320	688	120	688	136	288	456	648	568	888	424	168	568	552
86	0	0	0	0	0	752	760	432	432	528	648	448	40	592	752	0	744	864
87	0	8	0	0	616	264	280	664	616	672	768	96	832	792	584	504	256	728
88	0	0	0	0	184	624	464	880	416	216	464	496	152	696	176	888	0	840
89	8	0	0	0	816	904	832	832	464	240	624	880	336	384	112	656	8	664
90	0	0	0	0	624	184	0	744	960	376	424	488	0	896	296	880	200	344
91	0	0	8	0	520	360	496	600	656	416	832	648	0	128	80	312	248	0
92	0	0	0	0	264	560	448	552	280	616	512	328	896	552	760	528	96	696
93	0	0	0	0	936	488	832	312	104	424	792	952	640	288	336	832	376	168
94	0	0	0	0	632	312	504	720	680	744	176	608	864	712	0	176	416	792
95	0	0	0	0	528	304	280	400	552	24	424	728	136	688	400	800	464	544
96	0	0	0	0	120	720	200	984	760	920	960	0	32	360	312	664	720	0
97	0	0	0	0	248	256	672	544	624	752	728	600	608	720	56	744	528	360
98	0	0	0	0	464	0	736	32	704	928	768	520	760	848	256	432	808	248
99	0	0	0	0	0	552	840	256	256	640	720	632	456	456	944	0	440	864
100	0	0	0	0	416	64	0	592	712	864	0	664	416	480	616	552	64	848
