Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.615s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	10.8	13.6	15.6	14.6	13.8	15.6	15	15.6	13.2	16	16.2	12.8	12.4	13.4	14.8	11.8	11.4	14
61	0	0	0	0	240	464	312	232	408	512	744	168	136	320	360	0	248	0
62	0	0	0	0	712	304	792	568	0	376	216	688	80	96	0	792	568	488
63	0	0	0	0	648	128	600	560	376	0	872	32	104	104	144	760	672	400
64	0	0	0	0	184	600	168	928	96	416	880	0	232	936	24	0	400	0
65	0	0	0	0	200	616	216	88	720	600	816	216	192	728	216	552	368	304
66	0	0	0	0	672	608	552	424	488	896	704	0	0	0	360	224	0	32
67	0	0	0	0	264	312	592	240	312	376	648	496	416	448	640	496	424	0
68	0	0	0	0	104	824	224	16	320	752	424	368	424	256	712	328	152	416
69	0	0	0	0	184	408	816	216	552	592	560	520	120	0	376	800	360	464
70	0	0	0	0	0	152	640	896	488	256	920	344	264	128	248	344	608	144
71	0	0	0	0	736	232	592	296	344	288	592	760	576	200	152	680	0	200
72	0	0	0	0	200	288	160	152	816	552	232	208	256	688	888	144	496	0
73	8	0	0	0	544	744	536	0	504	0	96	576	344	360	672	72	664	624
74	0	0	0	0	656	848	288	288	32	368	480	624	256	72	408	784	72	200
75	0	0	0	0	0	400	248	160	760	280	792	96	48	440	776	296	528	0
76	0	0	8	0	232	160	0	40	0	0	160	48	128	200	160	0	384	56
77	0	0	0	8	752	800	528	208	128	704	568	776	224	592	0	232	16	520
78	0	0	0	0	136	368	624	80	192	552	288	168	528	544	736	888	256	720
79	0	0	0	0	536	472	672	208	288	608	224	568	296	544	608	344	56	384
80	0	0	0	0	592	496	0	560	0	280	944	704	80	64	80	928	416	448
81	0	0	0	0	552	0	392	288	280	600	400	696	504	560	296	232	664	0
82	0	0	0	0	704	472	288	608	0	656	288	480	544	584	16	0	424	616
83	0	0	0	0	656	480	0	248	536	624	256	112	280	248	248	592	192	576
84	0	0	0	0	344	344	272	0	912	328	352	128	480	456	656	0	8	584
85	0	0	0	0	232	576	112	544	88	208	440	600	480	712	344	144	496	424
86	0	0	0	0	0	688	632	344	296	480	576	336	40	560	528	0	656	600
87	0	8	0	0	456	296	184	440	456	512	632	64	616	392	464	456	256	488
88	0	0	0	0	224	544	456	720	224	272	464	440	88	576	176	784	0	696
89	8	0	0	0	624	720	648	560	336	176	496	760	232	248	72	504	8	472
90	0	0	0	8	584	184	8	552	728	360	392	400	240	672	240	816	192	256
91	0	0	8	0	520	344	512	576	664	416	808	632	0	128	80	304	224	0
92	0	0	0	0	144	432	384	392	208	504	400	248	384	384	528	296	40	520
93	0	0	0	0	688	480	648	184	104	256	672	608	344	104	320	696	352	72
94	0	0	0	0	576	256	440	464	432	560	144	504	592	520	0	192	256	512
95	0	0	0	0	520	368	360	376	464	80	496	624	160	576	312	704	480	488
96	0	0	0	0	80	624	128	752	552	768	872	0	24	288	240	616	656	0
