Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.759s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	10.8	13.6	15.6	14.6	13.8	15.6	15	15.6	13.2	16	16.2	12.8	12.4	13.4	14.8	11.8	11.4	14
61	0	0	0	0	120	344	208	144	352	376	568	96	120	208	360	0	128	0
62	0	0	0	0	408	352	416	376	0	536	296	448	112	144	0	232	296	96
63	0	0	0	0	664	0	640	288	0	32	240	200	0	24	80	616	408	480
64	0	0	0	0	160	224	256	528	312	56	696	0	248	504	24	248	336	32
65	0	0	0	0	272	424	0	344	288	608	616	64	144	496	80	376	144	8
66	0	0	0	0	368	624	528	80	424	592	568	128	0	192	80	136	112	224
67	0	0	0	0	264	248	192	352	432	600	456	40	16	32	424	440	136	24
68	0	0	0	0	88	440	312	112	48	344	296	488	408	424	488	128	88	104
69	0	0	0	0	176	408	312	0	344	552	328	192	96	0	408	408	264	368
70	0	0	0	0	0	128	544	448	320	144	584	472	0	16	0	568	448	112
71	0	0	0	0	184	264	456	432	368	176	464	288	440	72	280	120	80	296
72	0	0	0	0	440	0	176	64	400	576	320	456	256	384	376	432	64	0
73	0	0	0	0	256	432	264	0	528	80	8	168	144	504	664	0	560	264
74	8	0	0	0	440	488	440	160	240	0	160	512	328	72	216	312	288	264
75	0	0	0	0	168	696	152	80	256	520	464	264	8	128	608	352	184	0
76	0	0	8	0	288	224	64	208	208	0	456	64	160	496	600	96	872	240
77	0	0	0	8	496	584	344	0	0	400	544	552	248	352	0	0	0	296
78	0	0	0	0	288	272	368	184	48	432	16	232	184	376	368	432	184	368
79	0	0	0	0	480	168	408	0	264	664	272	296	456	152	328	256	8	152
80	0	0	0	0	288	672	104	456	0	208	432	424	0	200	224	424	8	416
81	0	0	0	0	512	32	32	88	104	488	648	568	184	192	64	496	616	32
82	0	0	0	0	568	96	432	368	64	416	16	376	352	352	128	0	320	176
83	0	0	0	0	552	552	0	248	32	480	224	192	64	320	8	304	224	344
84	0	0	0	0	448	328	240	0	736	464	152	0	400	128	488	104	32	424
85	0	0	0	0	160	136	0	120	360	104	344	392	392	600	512	136	272	456
86	0	0	0	0	104	640	376	448	48	312	456	168	144	432	192	0	160	200
87	0	0	0	0	128	296	200	256	376	248	296	272	312	224	248	96	368	424
88	0	8	0	0	208	64	200	272	320	352	480	0	304	328	320	392	0	448
89	0	0	0	0	176	664	408	464	144	0	48	664	72	296	0	512	24	296
90	0	0	0	0	432	280	288	248	168	120	456	480	152	280	128	320	112	152
91	0	0	0	0	376	0	0	536	672	656	328	144	0	368	0	624	216	0
92	0	0	0	0	288	400	648	192	200	192	472	408	144	216	384	160	0	288
93	0	0	0	0	352	352	312	224	160	224	328	328	248	96	320	248	216	128
94	0	0	0	0	400	40	440	232	96	488	320	656	344	312	8	264	144	296
95	0	0	0	0	432	272	272	312	248	240	216	296	224	208	64	192	312	416
96	0	0	0	0	88	152	0	440	472	256	472	184	16	536	136	528	400	112
97	0	0	0	0	232	328	352	296	312	384	488	112	88	104	208	536	272	0
98	0	0	0	0	64	0	304	104	368	504	288	432	344	440	0	344	344	160
99	0	0	0	0	224	200	408	120	280	272	424	160	368	280	256	0	384	224
100	0	0	0	0	0	96	288	208	224	656	192	736	56	96	416	144	48	480
101	0	0	0	0	720	96	48	48	536	448	88	96	304	208	480	232	144	352
102	0	0	0	0	304	0	280	400	120	0	704	152	0	88	296	480	608	408
103	8	0	0	0	88	336	384	16	0	488	520	568	64	272	128	176	584	208
104	0	0	0	0	592	544	224	280	80	528	0	112	0	192	0	520	520	264
105	0	0	0	0	368	432	376	128	360	208	24	104	312	32	440	264	256	200
106	0	0	0	0	344	208	408	520	312	240	0	544	216	8	256	192	0	384
107	0	8	0	0	232	520	104	200	264	280	168	432	112	216	456	208	168	328
108	0	0	0	0	448	456	0	120	400	280	168	64	336	112	168	0	448	368
109	0	0	0	0	200	568	72	48	64	248	464	184	480	256	496	88	536	16
110	0	0	0	0	160	288	176	72	480	576	128	648	304	448	192	208	32	152
111	0	0	0	0	464	448	448	216	200	216	72	56	112	0	240	248	744	408
112	0	0	0	0	216	528	224	192	192	88	480	344	104	184	488	392	376	200
113	0	0	0	0	312	40	336	72	0	776	528	0	408	352	144	0	424	608
114	0	0	0	0	464	608	392	320	320	0	152	304	48	248	400	176	400	72
115	0	0	0	0	616	312	80	216	528	304	416	136	168	72	64	120	240	552
116	0	0	0	0	608	552	0	584	16	624	696	144	400	0	120	0	120	136
117	0	0	0	0	160	40	240	0	616	64	704	16	384	168	736	632	64	168
