Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.698s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	13	16.6	13.4	14.6	15.8	14.2	14.6	14.2	13.2	16.6	15.8	15	13	16.8	16.4	15.2	13.2	15
61	0	0	0	0	0	0	0	72	16	0	0	464	0	432	0	528	0	0
62	0	0	0	0	0	0	0	0	16	208	24	752	456	776	432	0	232	720
63	0	0	0	0	0	0	0	240	48	0	520	272	504	672	568	400	544	176
64	0	0	0	0	0	0	0	0	600	560	448	784	528	264	352	88	8	664
65	0	0	0	0	0	0	0	112	352	640	488	200	296	480	384	336	552	0
66	0	0	0	0	0	0	0	344	456	88	592	120	120	0	696	704	160	480
67	0	0	0	0	0	0	0	272	520	0	160	288	632	104	96	400	528	376
68	0	0	0	0	0	0	0	440	216	456	744	280	176	336	0	0	104	528
69	0	0	0	0	0	0	0	216	448	240	16	0	120	328	200	112	160	200
70	0	0	0	0	0	0	0	64	160	152	472	360	368	568	888	632	952	144
71	0	0	0	0	0	0	0	552	592	352	216	464	312	168	304	680	312	312
72	0	0	0	0	0	0	0	704	600	0	600	624	176	0	56	728	544	56
73	0	0	0	0	0	0	0	208	528	456	312	624	0	272	632	560	416	416
74	0	0	0	0	0	0	0	704	168	176	128	552	544	528	112	752	128	440
75	0	0	0	0	0	0	0	0	736	288	680	584	512	160	680	336	768	712
76	0	0	0	0	0	0	0	120	328	680	8	608	304	152	688	624	176	272
77	0	0	0	0	0	0	0	104	368	264	240	352	16	64	344	792	64	488
78	0	0	0	0	0	0	0	344	656	0	576	600	464	312	792	96	448	192
79	0	0	0	0	0	0	0	152	248	0	352	344	0	352	320	0	384	288
80	0	0	0	0	0	0	0	832	128	400	896	840	720	520	352	408	784	400
81	0	0	0	0	0	0	0	168	88	232	656	560	368	168	592	440	792	152
82	0	0	0	0	0	0	0	192	240	256	288	64	24	0	288	168	112	48
83	0	0	0	0	0	0	0	816	832	384	312	616	392	416	72	872	752	808
84	0	0	0	0	0	0	0	360	480	88	304	0	488	440	0	312	440	368
85	0	0	0	0	0	0	0	760	704	552	320	264	384	0	320	24	720	568
86	0	0	0	0	0	0	0	544	392	792	0	472	768	16	768	0	496	0
87	0	0	0	0	0	0	0	456	144	576	160	0	560	0	120	208	24	576
88	0	0	0	0	0	0	0	488	384	792	720	88	664	0	72	688	184	616
89	0	0	0	0	0	0	0	504	728	456	56	568	376	432	712	624	0	504
90	0	0	0	0	0	0	0	144	344	744	72	616	728	464	704	288	240	384
91	0	0	0	0	0	0	0	272	248	344	0	0	296	504	552	352	0	0
92	0	0	0	0	0	0	0	328	128	56	464	184	216	648	528	424	608	264
93	0	0	0	0	0	0	0	704	520	592	0	32	0	496	512	240	208	544
94	0	0	0	0	0	0	0	528	480	0	424	24	200	168	632	480	168	0
95	0	0	0	0	0	0	0	136	0	96	168	152	224	304	384	328	400	40
96	0	0	0	0	0	0	0	344	512	832	776	240	480	912	304	792	848	464
97	0	0	0	0	0	0	0	264	392	384	296	760	464	360	0	776	520	8
98	0	0	0	0	0	0	0	776	0	720	352	112	320	32	504	664	64	240
99	0	0	0	0	0	0	0	672	536	320	432	0	56	760	336	776	712	0
100	0	0	0	0	0	0	0	624	640	656	680	504	568	440	512	520	560	464
101	0	0	0	0	0	0	0	664	328	232	0	424	40	480	448	272	504	744
102	0	0	0	0	0	0	0	544	72	120	192	0	136	0	320	192	528	136
103	0	0	0	0	0	0	0	320	400	512	424	64	504	0	616	552	144	544
104	0	0	0	0	0	0	0	256	216	176	504	152	464	424	200	544	128	520
105	0	0	0	0	0	0	0	72	0	296	0	608	344	296	128	448	24	240
106	0	0	0	0	0	0	0	384	272	464	192	192	568	328	632	560	400	208
107	0	0	0	0	0	0	0	336	480	896	296	640	600	800	768	184	144	568
108	0	0	0	0	0	0	0	784	368	384	504	568	376	496	408	48	568	136
109	0	0	0	0	0	0	0	368	200	256	480	0	248	664	208	408	0	232
110	0	0	0	0	0	0	0	832	608	312	280	144	144	504	72	392	96	552
111	0	0	0	0	0	0	0	176	80	536	792	0	648	272	480	656	568	672
112	0	0	0	0	0	0	0	704	0	56	112	184	176	320	312	104	168	640
