Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.778s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20	cl-21
60	15.2	16.2	14	12.8	14.8	14.8	15.2	15.8	12.4	0	16.4	16	0	0	13.6	13.8	0	0	11.8	16	0
61	0	0	0	0	0	0	0	0	0	0	848	304	0	0	128	168	0	0	704	856	0
62	0	0	0	0	0	0	0	0	0	0	600	544	0	0	864	680	0	0	408	576	0
63	0	0	0	0	0	0	0	0	0	0	744	984	0	0	320	368	0	0	40	0	0
64	0	0	0	0	0	0	0	0	0	0	472	656	0	0	96	0	0	0	752	352	0
65	0	0	0	0	0	0	0	0	0	0	520	568	0	0	280	600	0	0	976	680	0
66	0	0	0	0	0	0	0	0	0	0	560	704	0	0	128	952	0	0	48	0	0
67	0	0	0	0	0	0	0	0	0	0	120	896	0	0	720	336	0	0	256	64	0
68	0	0	0	0	0	0	0	0	0	0	744	312	0	0	640	0	0	0	512	872	0
69	0	0	0	0	0	0	0	0	0	0	816	576	0	0	376	736	0	0	896	0	0
70	0	0	0	0	0	0	0	0	0	0	512	360	0	0	624	416	0	0	80	240	0
71	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0	912	0	0	392	32	0
72	0	0	0	0	0	0	0	0	0	0	0	664	0	0	632	304	0	0	528	728	0
73	0	0	0	0	0	0	0	0	0	0	296	48	0	0	376	56	0	0	224	744	0
74	0	0	0	0	0	0	0	0	0	0	0	704	0	0	152	736	0	0	248	640	0
75	0	0	0	0	0	0	0	0	0	0	816	0	0	0	464	856	0	0	960	24	0
76	0	0	0	0	0	0	0	0	0	0	208	24	0	0	0	104	0	0	408	608	0
77	0	0	0	0	0	0	0	0	0	0	184	56	0	0	440	552	0	0	632	472	0
78	0	0	0	0	0	0	0	0	0	0	968	160	0	0	0	336	0	0	656	240	0
79	0	0	0	0	0	0	0	0	0	0	344	552	0	0	248	720	0	0	904	536	0
80	0	0	0	0	0	0	0	0	0	0	0	88	0	0	488	488	0	0	848	0	0
81	0	0	0	0	0	0	0	0	0	0	592	160	0	0	952	728	0	0	680	432	0
82	0	0	0	0	0	0	0	0	0	0	928	32	0	0	104	0	0	0	832	0	0
83	0	0	0	0	0	0	0	0	0	0	560	16	0	0	528	320	0	0	0	0	0
84	0	0	0	0	0	0	0	0	0	0	288	208	0	0	296	216	0	0	704	1104	0
85	0	0	0	0	0	0	0	0	0	0	968	888	0	0	184	88	0	0	840	192	0
86	0	0	0	0	0	0	0	0	0	0	344	648	0	0	256	88	0	0	592	112	0
87	0	0	0	0	0	0	0	0	0	0	0	728	0	0	592	192	0	0	552	552	0
88	0	0	0	0	0	0	0	0	0	0	752	704	0	0	1000	440	0	0	0	272	0
89	0	0	0	0	0	0	0	0	0	0	632	136	0	0	384	952	0	0	264	264	0
90	0	0	0	0	0	0	0	0	0	0	552	552	0	0	0	568	0	0	480	0	0
91	0	0	0	0	0	0	0	0	0	0	1040	552	0	0	416	0	0	0	528	72	0
92	0	0	0	0	0	0	0	0	0	0	312	952	0	0	256	576	0	0	824	280	0
93	0	0	0	0	0	0	0	0	0	0	64	432	0	0	976	176	0	0	192	16	0
94	0	0	0	0	0	0	0	0	0	0	320	0	0	0	592	112	0	0	176	488	0
95	0	0	0	0	0	0	0	0	0	0	672	616	0	0	0	712	0	0	256	968	0
96	0	0	0	0	0	0	0	0	0	0	896	560	0	0	384	616	0	0	552	488	0
97	0	0	0	0	0	0	0	0	0	0	648	0	0	0	208	584	0	0	736	384	0
98	0	0	0	0	0	0	0	0	0	0	944	496	0	0	0	824	0	0	200	480	0
99	0	0	0	0	0	0	0	0	0	0	560	544	0	0	536	448	0	0	88	96	0
100	0	0	0	0	0	0	0	0	0	0	960	56	0	0	0	968	0	0	904	8	0
