Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.719s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20	cl-21
60	15.2	16.2	14	12.8	14.8	14.4	15.2	15.8	12.4	16.2	16.4	16	14.4	12.8	13.4	13.8	14	15.4	11.8	16.2	13.2
61	0	0	0	0	0	0	0	0	0	0	632	264	8	480	96	136	0	696	576	640	360
62	0	0	0	0	0	0	0	0	0	0	440	448	200	344	744	664	328	352	344	432	656
63	0	0	0	0	0	0	0	0	0	0	576	784	216	800	240	280	536	480	40	0	280
64	0	0	0	0	0	0	0	0	0	0	368	528	184	400	72	0	136	192	608	296	104
65	0	0	0	0	0	0	0	0	0	0	400	440	104	296	224	328	344	520	688	560	112
66	0	0	0	0	0	0	0	0	0	0	216	384	32	200	184	424	208	336	56	0	80
67	0	0	0	0	0	0	0	0	0	0	200	856	360	832	512	392	288	352	128	56	184
68	0	0	0	0	0	0	0	0	0	0	232	8	296	64	184	0	200	464	416	376	144
69	0	0	0	0	0	0	0	0	0	0	840	544	192	0	456	528	368	616	680	136	320
70	0	0	0	0	0	0	0	0	0	0	424	288	280	688	488	352	576	0	64	184	336
71	0	0	0	0	0	0	0	0	0	0	328	0	624	480	0	688	568	280	296	24	568
72	0	0	0	0	0	0	0	0	0	0	0	488	200	136	488	256	552	456	536	656	528
73	0	0	0	0	0	0	0	0	0	0	376	64	584	16	456	48	464	120	96	536	488
74	0	0	0	0	0	0	0	0	0	0	0	536	320	520	112	632	296	624	200	480	552
75	0	0	0	0	0	0	0	0	0	0	704	8	160	360	408	736	0	680	744	16	280
76	0	0	0	0	0	0	0	0	0	0	160	16	736	408	0	80	616	152	296	480	688
77	0	0	0	0	0	0	0	0	0	0	152	48	136	232	352	424	0	0	488	376	624
78	0	0	0	0	0	0	0	0	0	0	792	136	16	368	0	264	536	288	480	216	752
79	0	0	0	0	0	0	0	0	0	0	312	432	32	416	200	568	544	112	744	448	104
80	0	0	0	0	0	0	0	0	0	0	0	80	272	472	416	416	800	800	728	0	160
81	0	0	0	0	0	0	0	0	0	0	360	144	272	360	704	576	320	680	568	352	584
82	0	0	0	0	0	0	0	0	0	0	536	0	224	344	40	0	416	360	400	152	104
83	0	0	0	0	0	0	0	0	0	0	528	16	728	208	448	256	232	320	56	368	448
84	0	0	0	0	0	0	0	0	0	0	224	192	592	440	272	184	280	216	696	680	360
85	0	0	0	0	0	0	0	0	0	0	784	728	272	168	168	88	456	0	720	160	208
86	0	0	0	0	0	0	0	0	0	0	400	536	704	376	208	72	488	240	456	104	184
87	0	0	0	0	0	0	0	0	0	0	0	592	512	536	488	144	352	480	456	424	184
88	0	0	0	0	0	0	0	0	0	0	200	384	0	488	720	304	0	248	0	224	160
89	0	0	0	0	0	0	0	0	0	0	632	216	584	608	272	680	24	128	152	112	144
90	0	0	0	0	0	0	0	0	0	0	400	368	200	528	0	424	680	320	352	0	600
91	0	0	0	0	0	0	0	0	0	0	920	512	536	0	280	0	48	40	416	56	432
92	0	0	0	0	0	0	0	0	0	0	280	768	752	584	176	456	448	0	640	208	40
93	0	0	0	0	0	0	0	0	0	0	40	344	0	592	784	176	464	736	160	16	800
94	0	0	0	0	0	0	0	0	0	0	272	0	176	216	520	96	312	360	144	392	360
95	0	0	0	0	0	0	0	0	0	0	368	328	328	136	0	328	312	0	64	616	208
96	0	0	0	0	0	0	0	0	0	0	568	464	80	496	240	464	512	344	384	368	288
97	0	0	0	0	0	0	0	0	0	0	640	0	616	232	168	592	312	360	608	328	728
98	0	0	0	0	0	0	0	0	0	0	408	80	352	280	0	496	544	328	128	424	520
99	0	0	0	0	0	0	0	0	0	0	680	680	520	272	352	464	616	256	56	72	608
100	0	0	0	0	0	0	0	0	0	0	768	40	256	744	0	784	560	120	656	8	144
101	0	0	0	0	0	0	0	0	0	0	456	528	360	160	400	560	168	88	312	376	512
102	0	0	0	0	0	0	0	0	0	0	640	432	304	160	600	624	472	552	224	576	200
103	0	0	0	0	0	0	0	0	0	0	88	128	0	0	800	16	800	432	0	776	376
104	0	0	0	0	0	0	0	0	0	0	264	744	432	464	520	32	472	248	520	424	704
105	0	0	0	0	0	0	0	0	0	0	272	152	152	264	296	264	384	88	88	304	504
106	0	0	0	0	0	0	0	0	0	0	256	40	192	752	752	312	336	0	160	384	416
