Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.798s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	13	16.6	13.4	14.6	15.8	14.2	14.6	14.2	13.2	16.6	15.8	15	13	16.8	16.4	15.2	13.2	15
61	0	0	0	0	0	0	0	88	16	0	0	552	0	528	0	664	0	0
62	0	0	0	0	0	0	0	0	32	264	24	952	608	984	512	0	312	872
63	0	0	0	0	0	0	0	336	48	0	632	280	656	888	720	488	696	192
64	0	0	0	0	0	0	0	0	672	664	488	864	608	336	464	104	0	792
65	0	0	0	0	0	0	0	144	432	824	608	232	360	584	472	408	664	0
66	0	0	0	0	0	0	0	296	328	128	528	0	0	0	712	616	192	560
67	0	0	0	0	0	0	0	416	632	0	392	424	640	72	192	536	552	400
68	0	0	0	0	0	0	0	544	288	568	992	360	232	360	0	0	128	680
69	0	0	0	0	0	0	0	328	592	520	376	24	624	880	568	336	600	560
70	0	0	0	0	0	0	0	0	216	24	472	480	128	472	928	720	976	0
71	0	0	0	0	0	0	0	680	688	416	144	792	336	248	360	840	360	408
72	0	0	0	0	0	0	0	856	752	0	712	480	176	72	64	880	664	72
73	0	0	0	0	0	0	0	232	256	248	344	536	0	32	728	568	520	312
74	0	0	0	0	0	0	0	752	440	440	56	584	496	632	32	832	104	464
75	0	0	0	0	0	0	0	0	888	312	752	648	528	288	760	504	856	840
76	0	0	0	0	0	0	0	136	424	832	8	696	344	192	864	728	200	296
77	0	0	0	0	0	0	0	112	432	288	288	384	16	80	384	1000	96	616
78	0	0	0	0	0	0	0	408	784	0	688	704	520	312	928	96	560	240
79	0	0	0	0	0	0	0	576	496	72	768	696	96	776	752	248	776	672
80	0	0	0	0	0	0	0	544	0	328	480	480	712	392	72	160	552	80
81	0	0	0	0	0	0	0	344	80	304	880	696	480	128	416	552	696	200
82	0	0	0	0	0	0	0	544	624	768	744	352	304	0	792	552	536	376
83	0	0	0	0	0	0	0	864	880	272	200	528	256	552	40	848	848	776
84	0	0	0	0	0	0	0	400	576	104	400	0	528	520	0	400	552	424
85	0	0	0	0	0	0	0	904	928	728	368	304	456	0	392	48	872	704
86	0	0	0	0	0	0	0	688	456	952	0	536	912	40	968	0	616	0
87	0	0	0	0	0	0	0	552	176	768	216	0	680	168	152	256	32	696
88	0	0	0	0	0	0	0	592	432	848	864	96	768	0	80	768	256	616
89	0	0	0	0	0	0	0	568	616	432	40	312	192	96	432	424	0	240
90	0	0	0	0	0	0	0	176	640	648	40	760	680	512	904	400	240	592
91	0	0	0	0	0	0	0	408	320	576	32	104	472	704	824	584	16	0
92	0	0	0	0	0	0	0	328	160	64	520	240	216	776	608	520	656	336
93	0	0	0	0	0	0	0	872	624	736	0	48	0	584	608	280	256	688
94	0	0	0	0	0	0	0	624	616	0	552	32	248	208	816	584	216	0
95	0	0	0	0	0	0	0	296	0	352	568	200	240	648	680	880	800	120
