Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.737s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	13	16.6	13.4	14.6	15.8	14.2	0	14.2	13.2	16.6	15.8	1.4	0.4	16.8	16.4	15.2	13.2	0
61	0	0	0	0	0	0	0	72	16	0	0	0	0	432	0	528	0	0
62	0	0	0	0	0	0	0	0	16	200	24	0	0	768	440	0	216	0
63	0	0	0	0	0	0	0	272	0	0	416	0	0	400	448	344	448	0
64	0	0	0	0	0	0	0	0	536	520	440	0	0	488	368	136	128	0
65	0	0	0	0	0	0	0	120	344	648	480	0	0	472	384	328	544	0
66	0	0	0	0	0	0	0	160	208	80	352	0	0	0	512	456	176	0
67	0	0	0	0	0	0	0	456	760	24	424	0	0	104	272	568	528	0
68	0	0	0	0	0	0	0	424	232	464	784	0	0	336	0	0	104	0
69	0	0	0	0	0	0	0	280	488	416	336	0	0	776	544	288	544	0
70	0	0	0	0	0	0	0	0	160	24	376	0	0	368	760	608	792	0
71	0	0	0	0	0	0	0	560	576	336	152	0	0	200	312	672	312	0
72	0	0	0	0	0	0	0	728	624	0	600	0	0	56	64	736	536	0
73	0	0	0	0	0	0	0	216	536	432	312	0	0	192	624	560	416	0
74	0	0	0	0	0	0	0	704	192	168	128	0	0	576	128	800	160	0
75	0	0	0	0	0	0	0	0	768	304	672	0	0	168	648	376	800	0
76	0	0	0	0	0	0	0	88	312	664	8	0	0	152	688	592	176	0
77	0	0	0	0	0	0	0	88	376	256	208	0	0	64	344	792	80	0
78	0	0	0	0	0	0	0	328	632	0	576	0	0	320	752	88	440	0
79	0	0	0	0	0	0	0	216	304	0	416	0	0	584	536	40	560	0
80	0	0	0	0	0	0	0	864	88	408	920	0	0	360	184	320	648	0
81	0	0	0	0	0	0	0	176	176	320	768	0	0	168	592	400	800	0
82	0	0	0	0	0	0	0	520	416	528	552	0	0	0	480	456	304	0
83	0	0	0	0	0	0	0	504	400	224	160	0	0	456	32	640	664	0
84	0	0	0	0	0	0	0	568	696	96	304	0	0	336	0	360	384	0
85	0	0	0	0	0	0	0	792	776	608	352	0	0	0	360	40	800	0
86	0	0	0	0	0	0	0	544	392	792	0	0	0	32	792	0	496	0
87	0	0	0	0	0	0	0	456	144	584	176	0	0	136	120	200	24	0
88	0	0	0	0	0	0	0	512	392	768	768	0	0	0	96	712	232	0
89	0	0	0	0	0	0	0	552	752	472	56	0	0	272	768	680	0	0
90	0	0	0	0	0	0	0	192	368	760	88	0	0	432	680	288	216	0
91	0	0	0	0	0	0	0	272	296	344	0	0	0	512	576	360	0	0
92	0	0	0	0	0	0	0	328	128	56	400	0	0	696	520	432	624	0
93	0	0	0	0	0	0	0	480	368	472	0	0	0	504	512	256	216	0
94	0	0	0	0	0	0	0	632	464	80	352	0	0	112	456	360	168	0
95	0	0	0	0	0	0	0	296	0	320	464	0	0	608	568	712	696	0
96	0	0	0	0	0	0	0	184	624	760	664	0	0	752	208	496	728	0
97	0	0	0	0	0	0	0	256	352	168	72	0	0	320	0	312	312	0
98	0	0	0	0	0	0	0	736	0	832	456	0	0	88	504	984	216	0
99	0	0	0	0	0	0	0	648	552	280	448	0	0	768	344	760	728	0
100	0	0	0	0	0	0	0	656	672	704	712	0	0	512	600	584	584	0
101	0	0	0	0	0	0	0	704	360	232	0	0	0	488	440	256	512	0
102	0	0	0	0	0	0	0	664	72	248	192	0	0	0	496	304	528	0
103	0	0	0	0	0	0	0	320	504	552	536	0	0	32	608	592	184	0
104	0	0	0	0	0	0	0	136	152	64	424	0	0	472	112	408	144	0
105	0	0	0	0	0	0	0	64	0	184	0	0	0	240	40	400	16	0
106	0	0	0	0	0	0	0	696	224	816	456	0	0	632	752	616	512	0
107	0	0	0	0	0	0	0	144	560	720	64	0	0	632	712	232	0	0
