Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.773s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	13	16.6	13.4	14.6	15.8	14.2	14.6	14.2	13.2	16.6	15.8	15	13	16.8	16.4	15.2	13.2	15
61	0	0	0	0	0	0	0	96	16	0	0	552	0	520	0	656	0	0
62	0	0	0	0	0	0	0	0	32	248	0	840	416	816	376	0	240	712
63	0	0	0	0	0	0	0	256	40	0	592	280	464	480	504	408	600	48
64	0	0	0	0	0	0	0	0	552	360	440	528	544	576	568	0	40	584
65	0	0	0	0	0	0	0	128	296	912	344	464	344	416	208	248	560	192
66	0	0	0	0	0	0	0	392	592	168	800	0	0	48	792	696	184	416
67	0	0	0	0	0	0	0	216	616	0	192	408	632	88	320	664	464	376
68	0	0	0	0	0	0	0	504	208	472	904	408	176	352	0	0	168	608
69	0	0	0	0	0	0	0	288	560	320	200	0	280	552	384	256	368	408
70	0	0	0	0	0	0	0	0	96	128	528	376	216	512	712	544	864	0
71	0	0	0	0	0	0	0	464	688	320	168	504	344	176	392	632	360	88
72	0	0	0	0	0	0	0	792	720	104	384	424	64	96	0	768	360	296
73	0	0	0	0	0	0	0	336	224	152	496	536	72	0	576	648	584	112
74	0	0	0	0	0	0	0	544	448	480	0	472	216	544	120	624	0	440
75	0	0	0	0	0	0	0	144	464	32	440	328	512	328	336	392	416	368
76	0	0	0	0	0	0	0	96	424	632	240	552	152	112	776	296	336	184
77	0	0	0	0	0	0	0	0	520	320	96	336	344	112	488	1000	0	680
78	0	0	0	0	0	0	0	464	584	136	448	408	160	184	616	224	424	160
79	0	0	0	0	0	0	0	136	424	0	648	560	256	424	648	0	480	256
80	0	0	0	0	0	0	0	640	88	216	488	480	360	368	224	216	536	216
81	0	0	0	0	0	0	0	400	88	232	664	656	568	0	144	464	560	184
82	0	0	0	0	0	0	0	224	432	688	768	168	0	120	832	248	464	16
83	0	0	0	0	0	0	0	624	256	328	160	672	256	48	96	528	552	552
84	0	0	0	0	0	0	0	440	544	0	136	176	392	488	0	416	688	440
85	0	0	0	0	0	0	0	680	688	616	344	136	112	0	48	144	544	616
86	0	0	0	0	0	0	0	576	328	352	208	464	480	16	624	16	592	104
87	0	0	0	0	0	0	0	616	432	936	0	72	792	24	560	72	152	416
88	0	0	0	0	0	0	0	344	248	768	784	120	400	120	0	456	0	408
89	0	0	0	0	0	0	0	496	528	408	208	96	440	64	376	800	280	432
90	0	0	0	0	0	0	0	232	728	376	0	520	448	176	704	296	24	464
91	0	0	0	0	0	0	0	328	192	696	80	280	584	608	672	416	120	0
92	0	0	0	0	0	0	0	240	0	0	392	88	224	768	760	552	552	240
93	0	0	0	0	0	0	0	576	472	536	104	136	0	504	496	352	304	512
94	0	0	0	0	0	0	0	776	768	152	400	0	168	272	712	480	176	48
95	0	0	0	0	0	0	0	184	0	344	528	240	192	480	664	704	688	8
96	0	0	0	0	0	0	0	320	424	432	376	192	312	512	104	584	448	240
97	0	0	0	0	0	0	0	72	432	240	296	200	536	632	136	528	648	232
98	0	0	0	0	0	0	0	688	32	800	432	464	216	0	248	848	216	56
99	0	0	0	0	0	0	0	712	256	312	328	0	176	552	344	808	456	200
