Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.755s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20	cl-21
60	15.2	16.2	14	12.8	14.8	14.8	15.2	15.8	12.4	15.6	16.4	16	14.4	12.8	13.6	13.8	14.4	15.4	11.6	15.8	13.2
61	0	0	0	0	0	0	0	0	0	0	560	240	0	400	48	112	0	592	552	584	264
62	0	0	0	0	0	0	0	0	0	0	480	144	192	64	456	344	24	280	224	440	472
63	0	0	0	0	0	0	0	0	0	0	208	712	128	600	480	480	576	192	0	32	144
64	0	0	0	0	0	0	0	0	0	0	544	840	200	568	0	0	192	392	440	152	344
65	0	0	0	0	0	0	0	0	0	0	496	288	104	240	160	216	248	408	680	624	32
66	0	0	0	0	0	0	0	0	0	0	248	568	72	408	296	768	456	456	160	0	256
67	0	0	0	0	0	0	0	0	0	0	256	808	344	632	272	424	296	224	80	48	128
68	0	0	0	0	0	0	0	0	0	0	360	136	344	136	432	0	320	600	512	552	192
69	0	0	0	0	0	0	0	0	0	0	584	624	152	0	272	264	392	440	368	176	224
70	0	0	0	0	0	0	0	0	0	0	480	272	48	424	680	544	272	112	344	184	144
71	0	0	0	0	0	0	0	0	0	0	400	0	656	696	16	408	576	48	48	8	608
72	0	0	0	0	0	0	0	0	0	0	40	280	104	104	248	528	584	504	576	264	144
73	0	0	0	0	0	0	0	0	0	0	336	264	504	64	504	0	296	80	272	728	704
74	0	0	0	0	0	0	0	0	0	0	0	256	504	288	112	408	320	408	0	504	608
75	0	0	0	0	0	0	0	0	0	0	352	272	0	512	168	688	72	568	536	256	176
76	0	0	0	0	0	0	0	0	0	0	432	24	632	96	216	296	392	176	608	216	480
77	0	0	0	0	0	0	0	0	0	0	0	40	408	536	320	440	224	128	296	688	688
78	0	0	0	0	0	0	0	0	0	0	784	16	0	344	24	216	384	240	712	112	824
79	0	0	0	0	0	0	0	0	0	0	408	528	8	288	152	536	432	0	528	504	200
80	0	0	0	0	0	0	0	0	0	0	0	0	296	544	264	432	696	712	720	0	112
81	0	0	0	0	0	0	0	0	0	0	216	176	96	200	552	448	376	392	496	312	280
82	0	0	0	0	0	0	0	0	0	0	576	0	344	288	272	240	368	648	432	136	336
83	0	0	0	0	0	0	0	0	0	0	576	32	520	440	416	32	224	304	312	376	312
84	0	0	0	0	0	0	0	0	0	0	240	0	664	208	72	408	152	200	512	672	432
85	0	0	0	0	0	0	0	0	0	0	712	712	280	200	72	0	448	0	712	272	128
86	0	0	0	0	0	0	0	0	0	0	576	520	544	296	264	152	304	96	424	80	176
87	0	0	0	0	0	0	0	0	0	0	0	680	384	416	416	0	384	368	352	240	176
88	0	0	0	0	0	0	0	0	0	0	432	560	192	528	784	472	0	344	0	392	112
89	0	0	0	0	0	0	0	0	0	0	496	64	608	744	480	720	0	56	208	192	104
90	0	0	0	0	0	0	0	0	0	0	488	440	200	424	0	472	432	296	160	24	448
91	0	0	0	0	0	0	0	0	0	0	816	280	400	48	344	0	152	64	696	32	624
92	0	0	0	0	0	0	0	0	0	0	344	704	600	360	192	360	280	0	576	232	0
93	0	0	0	0	0	0	0	0	0	0	24	520	168	712	552	312	384	504	88	0	608
